epoch,fisher_a,fisher_b,fisher_divergence,intra_var_a,intra_var_b,inter_dist_a,inter_dist_b,silhouette_a,silhouette_b,grad_norm_a_mean,grad_norm_b_mean,grad_norm_ratio
0,0.1943965324930299,0.170506441548891,0.02389009094413891,3.0170943200588227,3.9398698484897614,9.501187331881185,8.98567175216145,-0.2528010308742523,-0.3025529086589813,0.036276631227081316,0.04117728180179917,0.8809863310509476
1,0.26648400153715474,0.17279064731008656,0.09369335422706818,0.8310862010717393,0.35646002054214476,5.964230550274705,3.1872527507098036,-0.2180405855178833,-0.19775493443012238,0.07151373492235644,0.11528939086174018,0.6202975675805503
2,0.25458630064950044,0.2002445915442108,0.054341709105289654,0.31859564229846,0.17634536266326906,3.7014757456923975,2.4860445220602885,-0.1685788333415985,-0.15991607308387756,0.12962662295145785,0.16712577540906515,0.7756231190428065
3,0.27571989969816546,0.20457043594827157,0.0711494637498939,0.18952838689088822,0.16647399000823498,3.018033556251815,2.461144080866467,-0.17076300084590912,-0.1490018665790558,0.18308264680650094,0.18804903012376828,0.9735899033890383
4,0.2859142599306831,0.21279529463391614,0.07311896529676695,0.16083830215036868,0.16584141671657562,2.8511016582900828,2.5181833828759914,-0.12991496920585632,-0.15023402869701385,0.21216664009954558,0.19642062023787338,1.0801647456410417
5,0.2865401000190816,0.21528289105790602,0.07125720896117557,0.16337465025484563,0.1512127922475338,2.899840611911783,2.4306710456898717,-0.11805661022663116,-0.12866297364234924,0.223151267089679,0.20906529909742236,1.0673758743287856
6,0.29342267303573705,0.2114470207730357,0.08197565226270134,0.17262480534613134,0.14058530800044536,3.0203513491394545,2.3242937979011824,-0.11757999658584595,-0.127620667219162,0.2301190270019203,0.2238687937620429,1.0279191344878984
7,0.29367961073554777,0.21288743254622813,0.08079217818931964,0.1739125420898199,0.128046929910779,3.045540991413473,2.229435982511501,-0.11255302280187607,-0.12840504944324493,0.23756337488071322,0.2341099036422511,1.014751452361558
8,0.29500297603360537,0.21077157922497095,0.08423139680863442,0.16770754665136337,0.1267645401507616,3.0002694818648425,2.204307274180229,-0.10011566430330276,-0.12378164380788803,0.24521103382148732,0.24314113201541315,1.0085131285841495
9,0.29262378854226045,0.20809540532188045,0.08452838322038,0.18424903944134713,0.12290827080607414,3.1380878070629006,2.1626834352088697,-0.11162079125642776,-0.12121164053678513,0.24792478600146292,0.24263867871241163,1.02178587972554
10,0.3032381746572021,0.21250396574112648,0.09073420891607561,0.1806713344156742,0.10888309851288795,3.16589369291609,2.057848597963651,-0.10503684729337692,-0.12089207023382187,0.2533936309780132,0.25212270552465266,1.0050408605615557
11,0.31327051219184615,0.20437258321526924,0.10889792897657691,0.1912073267251253,0.11079355522990227,3.3064967134745435,2.0353813233520044,-0.11730736494064331,-0.12377750873565674,0.2522506291429278,0.257417641575338,0.9799274742785152
12,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,nan
13,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,nan
14,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,nan
15,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,nan
16,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,nan
17,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,nan
18,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,nan
19,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,nan
20,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,nan
21,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,nan
22,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,nan
23,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,nan
24,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,nan
25,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,nan
26,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,nan
27,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,nan
28,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,nan
29,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,nan
30,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,nan
31,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,nan
32,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,nan
33,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,nan
34,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,nan
35,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,nan
