,0,1
9,20.292288,-22.013514
7,2.409887,-50.00237
6,21.345596,0.51471144
0,11.90556,17.143929
5,-40.589996,-5.656034
6,-1.9056354,0.88700485
3,-30.05509,-12.401366
6,-0.021105424,-1.4739873
4,-21.506464,-26.92483
1,44.085335,15.596117
6,10.682245,3.0887828
2,-14.956059,3.0947134
8,26.821096,21.143908
1,43.19408,12.292745
5,-29.355457,-34.850563
7,0.5779381,-23.756311
3,28.175241,-13.991738
3,7.25803,-6.4874883
3,8.589122,38.455814
5,-51.067898,-2.9300613
6,-9.601072,-3.2154524
5,20.73521,-18.380161
6,-28.114233,43.023113
5,-25.048172,-31.939638
1,34.42461,-7.5995374
2,22.531069,44.07994
4,-8.947439,-0.7187331
2,-14.889209,26.715218
3,13.828776,-19.46234
8,19.934734,47.287792
6,-28.640738,25.058266
7,0.9579666,-47.98176
9,23.741394,-22.183455
0,5.370912,32.155865
7,8.373377,-31.688387
2,-18.88377,12.295502
4,-13.690352,-4.285307
8,34.676834,24.155495
6,-29.419954,35.500286
1,52.453392,6.6357346
9,32.158348,-14.5292425
2,-15.438838,34.646336
6,-27.288479,39.49196
0,1.580707,-29.470545
8,26.509073,22.751093
0,4.038903,12.896039
1,42.83364,14.383934
7,-9.926828,-37.419685
1,35.67318,1.3318005
9,37.868137,-29.764809
6,36.93379,-20.161146
2,-13.772578,-34.41689
4,-5.332008,-30.749779
9,43.381405,-16.233809
4,-11.895313,-7.044908
6,-11.089482,-26.806862
5,-47.77329,-32.088245
9,23.003544,-7.5767655
2,-5.0202165,-0.5479012
9,23.527018,-16.30412
4,-8.018678,-12.291733
9,39.0151,-17.66535
4,-16.275267,4.5075574
8,27.242659,42.427162
4,-8.8896675,-15.932086
3,-18.830658,-29.55988
6,-24.745039,24.729557
2,-4.8708353,21.882334
1,45.729565,-4.6587324
1,20.110075,-28.529358
2,-2.5164607,21.78763
1,54.21307,0.4290764
2,3.725012,6.227671
6,29.371483,-10.358836
8,-6.989721,-0.85960716
8,28.455952,44.023636
4,3.7831907,18.416897
6,-29.608377,12.610158
2,-1.7697011,-26.84824
7,16.331093,-22.478914
2,-5.2153993,-19.411741
4,13.169361,-29.331488
3,14.985879,-0.73433334
6,-33.491432,38.612206
3,-16.00849,-28.788418
9,31.948078,-21.266218
7,-0.091570064,-34.80473
5,-38.705566,-22.810194
6,5.1008615,0.598497
3,17.3951,-13.504809
1,50.164333,-15.94894
5,1.3859341,3.8382375
6,-28.66378,18.779057
1,47.41564,4.8120832
4,3.9178245,-3.0622318
5,-41.016083,-34.18682
6,-24.671104,24.828085
9,46.770245,-4.2003984
6,-35.189358,25.71179
5,-50.45407,-0.07316256
4,-7.4384027,-2.2648966
7,3.651597,-37.142483
8,22.484217,-16.491869
6,-32.93257,15.61464
1,41.070145,15.298366
5,-27.110455,-42.764122
7,-29.725626,-39.074986
1,50.21799,14.079632
8,31.898182,42.151245
6,-28.584244,18.57156
9,44.73415,-5.444932
2,-17.186546,13.166398
5,-26.053238,-0.42751485
8,25.156157,25.18108
3,-23.881613,-4.8257403
8,20.550575,45.855198
9,20.088945,-20.899494
7,11.059402,-38.904053
4,-6.2177906,-0.42748085
9,-5.5262394,-34.135746
9,43.498337,-27.129936
9,39.36508,-23.08712
3,-36.220074,25.939238
3,-8.590862,-30.215654
1,29.644306,4.7907643
9,-0.15606712,-6.3750577
8,9.288588,-3.3358676
2,-14.892388,17.793112
9,41.68871,-28.630281
3,26.431694,-32.150486
3,-46.32058,-17.673994
4,29.849434,-9.55942
0,8.686678,19.398762
8,27.717726,32.699795
8,34.26444,40.432213
8,1.7875121,28.086828
3,-39.436234,-23.334469
8,31.642817,40.097523
0,-11.492693,-10.275267
4,-5.2617,-8.392098
2,-20.788647,26.167004
7,11.324606,-50.61785
6,-44.416004,33.37454
0,22.73615,8.075698
7,19.280863,7.947881
2,2.4661229,11.730851
3,-1.6947598,-32.828506
5,-47.409176,-32.30661
4,-22.27081,-20.363361
5,-36.214314,19.990704
9,36.537113,-17.020756
9,31.197195,-30.8172
7,29.147394,-11.632689
4,-10.086419,-15.741731
3,-2.0933728,12.036549
7,-9.714872,-18.61986
4,-15.017105,-22.584126
4,-6.7903666,-0.72659796
7,17.407051,-21.580236
8,36.929634,36.11851
6,-32.996464,16.613827
9,25.456024,25.525467
5,-36.607086,-25.041252
9,38.190674,-29.195276
8,28.72304,33.078533
5,-21.40636,-25.52425
1,6.7726355,-34.84433
5,-23.768734,-41.913822
8,39.48687,27.403996
2,-35.99656,20.313122
9,45.043713,-18.175837
8,37.607178,23.583237
3,-24.930885,-13.502384
8,29.976608,33.37098
5,-40.187183,-22.738478
3,-21.290085,-6.3282247
3,-7.599723,-26.419363
6,-36.225193,19.994219
6,-29.577047,17.402576
4,-8.280204,-23.314737
3,-37.26857,-9.678717
8,37.55957,37.4333
9,47.252907,17.874403
5,-37.471855,-29.92854
1,38.96365,-13.953477
9,21.156992,-16.638945
9,26.652786,-21.678553
4,-24.44034,17.897139
5,-39.597424,-23.64511
7,2.8421938,-32.904003
3,1.7960353,-22.759598
9,38.284718,-16.163387
8,23.030685,34.163906
0,-15.972951,-25.256708
0,-6.908965,-15.064571
0,12.553646,-27.38049
1,42.82319,-6.3413115
3,-35.042587,-32.817284
8,31.740705,40.148293
7,0.37371603,-39.807777
1,47.600246,-18.095345
5,-38.13263,6.956837
3,-1.6887815,-24.862463
4,-8.66038,-16.412428
0,-2.226259,17.82298
6,-38.658333,33.920685
4,-9.165516,7.478659
1,42.298252,14.237939
0,18.481478,43.150787
3,-40.60545,-18.533005
1,45.385937,-4.925856
3,-22.083601,-24.03804
9,31.369286,-24.236902
8,31.510666,26.369038
1,36.34218,-11.407886
7,6.724153,-45.02738
8,28.664515,34.53073
8,11.588885,41.975094
1,22.273085,-29.140482
1,54.490498,0.6240095
6,-35.354164,33.852688
7,-3.127208,-20.745438
2,-24.81218,1.555417
6,-28.324732,18.698359
6,-46.40635,22.909592
4,-38.117565,-21.158564
2,-33.668854,-1.7322603
1,34.311394,0.6194494
4,22.59234,-18.957779
4,-6.850759,-4.223894
1,50.297016,-13.253701
6,-40.630375,15.417684
4,-6.4203734,0.07671088
4,-9.253132,7.646028
2,2.189135,-42.04303
4,-3.2017307,-18.649546
1,47.26406,20.051914
1,51.729885,10.260708
4,1.7970257,3.1081553
8,34.65528,39.355965
2,-32.35486,7.12696
3,-3.735031,13.924285
1,47.705097,2.792329
4,-15.274719,-4.905127
5,-20.715134,1.915245
3,-35.069195,28.2651
4,21.66843,11.096779
4,-6.9171534,-8.475415
7,-1.1985639,-37.02156
3,-3.6477938,-31.201395
0,19.058033,29.542917
7,-1.4020673,-50.928608
0,8.121458,-19.367407
5,13.801454,-24.121433
5,6.5247326,-3.1920216
5,16.198511,-9.15604
3,5.4570775,1.5060468
6,-30.21367,13.389936
1,40.803974,28.36955
6,35.969593,13.174367
3,1.395493,-7.6817503
4,-8.920471,-48.40843
6,-31.869345,9.903579
7,-5.685911,-7.3067346
1,39.420246,11.143227
5,-38.229115,-17.353567
9,9.211003,-18.767103
3,6.003523,-3.7040265
5,-20.154436,-43.86696
6,-8.929097,-1.9187084
1,55.845757,7.0675898
9,33.25249,-28.150488
0,18.879507,1.716872
9,30.33321,-30.820467
0,9.815481,17.247711
0,24.407677,22.671463
5,-30.529549,-23.69023
8,26.282352,8.532368
4,-7.0285096,-18.891802
7,10.808788,-50.6779
9,37.39663,-27.126383
6,-35.021965,17.63672
2,-3.7205021,10.150861
3,-16.83079,-4.266145
1,29.546532,6.1094785
6,-25.25466,20.425673
3,-40.43672,4.879069
2,-8.915799,-1.3063947
3,15.176092,-23.221699
3,12.788154,44.518208
8,24.599972,33.89427
0,19.852644,-0.08032264
2,-18.255825,-44.13644
2,-45.526894,-0.7955148
2,-17.13532,-21.33182
4,-13.458977,-3.5656238
5,-26.89451,-42.788963
3,-35.776905,-13.466134
0,16.611279,15.636042
2,-49.625225,8.628692
0,22.588625,24.409492
0,-7.7103977,12.035576
0,3.2423985,-35.273155
8,18.52967,44.8638
8,26.968779,25.843256
4,-30.722406,17.358244
9,39.848164,-11.304185
3,17.300243,-30.15766
6,-26.793764,41.401276
1,38.849022,3.0262997
0,22.650372,7.911105
1,-3.8681479,-21.719131
2,-32.543327,5.4207587
5,-42.636986,-35.918278
8,32.162685,33.46645
6,25.044155,-10.148889
9,18.53972,-23.639261
8,27.358545,32.714214
8,27.200912,43.201904
1,22.633709,-32.480698
2,-6.5177593,7.7299595
8,36.548843,44.59829
3,14.950307,-10.370789
6,-17.59583,44.425526
0,11.099254,-35.233017
7,-4.011196,-43.252026
6,-35.002766,26.982176
5,-35.814144,-21.315702
0,-5.141046,12.359568
5,-41.07031,-7.758096
8,20.51725,-13.5556135
1,44.21211,4.8618727
3,-30.128872,10.548332
8,6.25144,4.2782183
4,-18.903597,-2.1784246
3,11.301384,-19.186302
3,-37.164062,-9.892266
8,13.059725,41.677773
7,7.1801586,-39.45491
7,-4.373537,-42.222836
4,-10.24402,-1.5513511
6,-37.7528,34.042873
2,-0.33233237,-26.811733
3,-11.808582,-6.9792514
1,24.389618,-6.7507577
1,50.55942,6.6995873
2,1.0976971,15.972793
8,33.99628,27.944546
2,4.0383205,-3.485136
7,4.9402785,-50.522198
1,44.831394,10.512376
6,-8.808517,-2.4468107
6,-23.275536,6.0492387
6,-2.1669405,1.8626465
9,28.833803,-12.123814
7,15.471018,-9.39433
8,27.798428,23.384739
1,50.783833,6.460277
8,9.90083,18.851505
2,5.423013,4.8201227
8,27.021696,32.716038
5,-27.474726,-4.6506934
2,-26.354607,15.381752
9,35.82744,-10.709302
5,-46.595478,-21.070967
9,33.766174,-23.244621
2,-14.451029,11.166461
3,8.147181,-11.459291
5,-20.41033,-20.331844
7,3.1405277,-48.010235
3,-31.331148,-9.935898
8,9.440631,46.583504
8,38.74728,40.499146
6,-40.783096,32.875652
4,-18.18427,1.6750001
3,15.311468,-21.960825
7,4.158829,-38.787254
7,1.7655478,-42.832787
9,27.146791,-17.774311
1,32.489304,-13.820097
5,-42.081985,-30.722248
2,-7.2407875,-7.123497
6,-26.552864,18.731407
9,27.284044,24.946417
0,10.774326,-38.699795
9,38.27545,-28.369139
9,39.940052,-13.949445
8,30.799784,32.785236
8,24.24207,29.89157
8,6.218438,0.47504127
8,4.0172195,1.5957116
5,-16.66815,-25.218737
4,-15.210424,15.482741
3,-30.257582,12.616245
5,-38.97102,-19.108698
4,-7.2535906,-39.14088
2,6.903586,-45.299328
0,22.675169,45.926212
8,36.59281,44.532467
4,-11.93889,-19.572134
8,34.311733,32.737255
6,-40.828526,38.414
6,-41.0899,33.57904
0,6.010612,-17.680761
2,3.7519116,-3.1989865
3,2.7376487,-5.0182285
5,-20.856327,-7.9756474
4,-10.446841,-39.137646
1,55.458263,7.000661
0,31.56383,22.953213
2,-42.283737,12.269246
5,-40.17213,-30.599688
3,-30.595255,-1.446195
6,-35.980755,20.404032
0,-0.60586494,-35.759663
4,-5.076524,-46.49723
0,-28.76691,43.077255
4,-12.393891,-4.656277
5,-29.88209,-11.725196
0,-10.391317,13.830924
3,-31.187685,10.357579
7,-14.607515,-23.89263
4,-8.498411,10.2471895
1,33.011017,1.4659936
0,7.124437,32.36625
2,-29.630966,14.269408
2,-31.234585,17.553932
5,-41.049213,-32.881622
5,-30.693754,-32.440052
1,52.36899,16.405037
0,-1.6070039,-32.17881
8,17.714575,41.440483
1,39.003544,3.0797298
3,-6.184282,11.9001465
2,-21.395197,11.0301285
4,-7.6259546,-27.56475
0,-1.1110088,-27.12694
1,13.885795,-10.604179
3,-8.504838,17.669613
7,-41.91922,10.486288
3,-36.14432,-12.267951
1,51.231457,13.954565
1,-2.6191003,-17.699564
9,37.492416,-26.009779
