,0,1
7,44.631268,-29.393747
8,-3.4650898,28.837088
8,13.230919,6.766047
6,-42.30257,22.962805
0,-7.4507465,17.54081
2,-43.45856,-20.522865
1,23.069979,-1.2571377
0,-9.01041,0.30959898
8,1.0026667,50.282215
8,-13.794954,45.292675
6,-27.33071,23.402857
0,-16.605785,-33.816193
2,-43.75203,-20.089275
8,-8.674949,49.998398
1,30.32505,37.235172
6,-44.77666,17.997469
8,-3.3593316,43.413273
6,-42.983994,1.9499003
4,17.654333,-14.408323
1,14.544164,48.673588
8,-14.51325,40.455524
4,6.9171295,-11.905337
6,-35.88069,5.778835
8,1.7086924,-25.680754
6,-32.72899,15.876496
0,-1.3019123,18.63337
9,21.198494,5.520729
8,-7.1514664,34.337646
7,43.581764,-29.081305
1,20.915909,23.74368
4,5.0000978,-6.8498926
9,32.405018,7.6137094
7,42.404316,-24.95898
0,5.2438316,9.172297
2,-39.213123,-1.5767206
1,21.990112,8.1759405
5,13.619667,-52.261734
1,23.544577,38.329636
0,-18.754015,7.938946
3,-13.24498,-23.26861
1,15.261814,31.603806
5,6.745292,-32.506912
5,-2.2086992,-18.440596
1,18.40862,24.076763
6,-30.309704,25.070808
7,36.935688,-26.596647
0,-3.4516475,17.54158
9,31.115213,7.1241245
3,-25.684391,-28.488478
8,2.0792804,38.1023
5,11.560928,-51.291573
5,2.1171443,-50.44442
8,-12.303096,48.50117
0,8.649229,32.356133
5,-2.7503006,-39.803806
9,31.70714,0.907178
0,-15.191345,-19.850698
3,-26.866083,-38.47338
2,-32.222885,-12.033006
7,39.44281,-20.868305
8,-4.518798,41.07917
9,25.143383,6.0697284
8,-2.5612428,33.596153
0,-18.527164,8.6373625
1,21.871159,44.487907
4,-10.733325,-8.428609
1,25.55832,23.02334
7,33.801094,-20.732227
1,14.353119,23.042217
9,42.380657,1.3633971
6,-44.302963,11.312491
3,-9.454234,-25.074106
3,-24.924446,-38.25915
9,41.703587,10.468201
6,-46.8818,9.689692
5,10.471335,-32.556698
1,28.653624,35.290596
1,29.270315,44.973442
5,4.7984815,-24.592197
3,-15.603947,-43.203533
2,-29.755014,-1.016178
9,16.647446,10.696322
0,0.24498212,18.020607
1,31.518547,38.84366
1,10.796181,29.635994
8,-23.020231,45.179737
6,-38.66273,7.9463534
8,-13.65008,54.06348
6,-41.26104,16.45454
2,-40.295258,-11.237712
9,22.680893,5.153692
0,-17.271461,-1.4280598
4,-5.4213047,-8.033558
5,0.3028469,-31.896122
7,45.376965,-11.452892
3,-21.098717,-48.99557
8,-6.8712,36.45733
2,-42.506096,1.386449
6,-33.463776,26.629778
4,17.3238,-12.05732
9,32.489765,10.05319
3,-18.860865,-37.592785
1,24.400738,38.728527
6,-36.90347,19.648695
3,-25.12957,-47.66856
7,29.294987,-9.455088
9,51.105797,7.7252975
7,33.115963,-27.575254
7,44.15985,-11.891506
9,38.6138,7.790664
2,-42.148434,-8.669835
2,-22.170202,-9.7067375
8,5.5073233,25.765371
7,34.035557,-13.608702
1,27.865492,40.995163
2,-49.394188,-18.469282
9,40.28985,0.5068499
1,29.007872,33.098164
2,-48.348816,-17.458609
4,5.4895625,-16.742584
3,-14.613208,-44.69028
4,-4.0017533,-13.382005
3,-24.29455,-36.65309
2,-23.888128,-10.424832
3,-25.003492,-30.554718
8,-3.0473168,48.640568
0,6.486889,17.359856
6,-50.044384,11.954689
8,-10.252277,36.158165
7,51.75936,-23.197712
5,18.233698,-54.377697
3,-23.083004,-48.145454
0,-9.930915,-0.86823356
7,31.584757,-6.32701
9,20.295786,12.979086
8,-3.0035691,38.23607
4,-6.152168,-17.299082
