,0,1
7,41.335293,-29.769451
8,-15.185459,24.790842
8,20.842377,20.736471
6,-41.515198,2.3307571
0,35.457684,10.804205
2,-10.57298,-8.911021
1,30.171352,41.863205
0,4.370897,25.942854
8,-15.355124,37.397274
8,-23.029009,45.255566
6,-34.37134,1.2475182
0,21.253428,-3.9220848
2,-16.261082,-11.404163
8,-22.76736,43.639816
1,2.4419856,46.643673
6,-31.123516,9.808573
8,-29.986197,28.339584
6,7.3393736,-40.2148
4,-45.36008,-33.05321
1,-0.69733554,59.8708
8,-21.924496,29.838028
4,-35.870277,-39.52934
6,-39.965393,5.3297176
8,-26.017548,-18.87288
6,-49.576427,6.4078717
0,27.34411,5.183387
9,33.867054,27.073376
8,-24.338575,24.70452
7,50.282043,-18.178286
1,13.2928295,59.113216
4,-34.51579,-6.7836857
9,46.758354,20.210789
7,23.808332,-15.91861
0,44.07,1.9777663
2,-16.79591,-16.321884
1,20.213758,26.795208
5,27.968637,-43.208893
1,22.164036,43.535786
0,-7.761346,-37.97054
3,7.0038424,-39.848236
1,0.041158102,34.117
5,-2.4640598,-28.075912
5,15.354585,-38.181408
1,5.8594637,43.38598
6,-29.099098,9.037265
7,36.955254,-30.479342
0,39.16331,3.520844
9,23.575262,28.497532
3,-5.2161326,-23.825533
8,-28.38903,25.848444
5,18.009254,-43.277046
5,14.9738865,-50.127396
8,4.1599092,21.881756
0,-4.1009502,17.3793
5,13.314794,-47.766727
9,26.603355,20.218893
0,14.220593,2.4394712
3,3.3258643,-24.343336
2,6.6292205,5.932468
7,34.97306,-26.823101
8,-32.14569,25.299044
9,25.933773,22.226727
8,0.17570181,17.970142
0,24.663797,5.7673187
1,9.528564,47.576164
4,-37.978348,-18.493889
1,13.817368,47.64386
7,17.111158,-9.74127
1,12.06865,29.73601
9,32.514256,33.4128
6,-57.952507,0.9012175
3,-3.1156638,-31.868225
3,-15.676924,-47.64235
9,33.303677,19.528181
6,-32.36123,0.5536263
5,12.914132,-33.26577
1,5.1293306,35.45175
1,-4.6651998,47.593987
5,-24.858427,-24.943254
