,0,1
1,11.607163,-17.412859
9,33.498882,-11.179496
8,14.232409,13.51368
6,-42.228718,18.795124
5,-20.740786,-42.34639
0,32.16514,13.820118
2,3.797039,15.742544
3,-8.589245,-7.812239
7,0.69099003,3.507368
1,19.889889,-37.100483
6,-49.438507,1.1413325
4,-21.100117,27.102121
9,50.806683,-3.8997614
5,-20.533636,1.9816052
3,-44.133877,-21.091652
5,-13.30554,-1.0681779
5,6.245534,11.383481
6,-48.563515,-1.2466637
7,11.855552,42.3975
3,-29.235561,-1.5766369
1,29.573019,-39.648186
4,-20.120808,45.137157
9,33.301025,-10.410167
8,10.757038,-16.418386
6,22.953018,17.784449
3,-20.399889,-11.823637
0,21.401386,10.871597
4,-21.318953,34.05361
2,0.5560715,16.436478
1,20.84654,-27.039434
6,-30.132565,7.443993
8,7.009369,-32.070435
6,-42.249554,18.655802
9,38.4991,-9.030871
4,7.8340816,10.591262
1,27.547626,-33.490784
0,20.932152,10.325571
1,33.517555,-45.41894
9,40.148026,-17.248394
9,39.585186,-19.888866
7,-3.7587762,31.87168
2,-40.381123,23.68775
7,1.2226192,39.491074
5,-32.9907,-16.682774
2,5.7501535,5.7506156
5,4.1587954,8.59358
8,3.3509278,-29.170464
9,4.347858,-10.901094
6,-35.877132,16.468538
2,4.599537,14.112249
9,-43.30418,-8.591575
5,-17.626717,1.3331499
6,-35.38593,15.99101
7,-3.082133,13.471378
0,36.96026,20.668713
7,20.09281,51.916237
5,-31.403141,-34.656174
8,31.93117,15.995432
5,-10.7879505,-15.292968
4,4.680671,15.689243
3,-48.331997,16.174128
9,21.856382,-21.024818
5,-32.772877,10.840182
0,27.43184,13.37542
0,41.607063,22.577246
8,16.81303,-20.765312
4,-33.093616,16.412346
8,-1.1174865,-50.593605
4,5.7928147,34.592915
0,-29.64031,33.858585
4,-42.007973,17.31424
0,36.37002,24.184015
3,-23.987358,5.1554365
9,28.591034,-1.7774296
5,0.84141725,-20.16649
2,14.175203,14.594677
9,48.75689,1.2739017
9,49.71572,-4.068526
3,-40.03201,-17.691713
3,-42.841705,-19.303095
9,19.12861,-4.818851
3,-46.210224,15.932555
6,-52.145267,9.949017
9,-0.86548704,26.972866
1,1.2199886,-46.752377
1,17.406832,-23.697174
1,16.335838,-23.452904
1,-29.519539,37.29509
8,6.0283713,-12.065433
0,37.660595,23.433777
3,-43.435677,-23.044828
3,19.0166,25.69164
1,-12.259816,0.8633398
3,-28.47823,0.7994896
5,-20.44577,-5.8358192
0,32.174244,9.499991
0,19.522526,3.7724104
9,53.456764,-0.66599613
1,41.335373,-21.109211
0,11.636073,13.235551
8,-0.04723835,-50.634716
0,34.450783,11.637451
4,-17.038626,37.752914
5,-36.93197,17.763664
8,3.1074271,-28.338606
8,6.494479,-33.607796
4,-17.8118,43.93713
9,41.29799,11.380939
5,-41.839546,1.5139349
5,-10.384097,-24.929209
5,17.112293,17.080402
3,-17.410318,-16.645933
7,12.36005,44.84064
5,-46.11998,15.104674
5,-11.761823,5.850301
3,-7.5539293,-7.0530796
7,12.122235,40.862858
7,13.448157,26.25302
0,-28.068855,34.86939
8,2.006955,-39.9064
7,11.169005,24.564795
9,17.730942,-25.926529
2,16.304369,14.028307
3,-30.243036,-3.304179
7,-22.49609,32.033222
1,31.672247,-8.336474
4,-13.356957,44.52721
8,3.310728,-47.079247
3,-16.75831,-18.564163
7,16.657335,50.03138
4,-7.4187207,41.451637
