,0,1
2,-1.4836301,-46.61015
7,-19.138432,30.530397
0,9.7564535,-6.703939
5,11.338369,42.79597
3,-21.779835,1.1556196
5,3.2309935,39.96732
6,-33.158195,-41.20707
0,10.626309,-1.4967809
6,-40.23889,-23.164171
3,-25.572943,-0.8553995
5,-1.4237586,25.995724
9,40.756947,-6.198045
3,-19.046793,10.133087
1,15.019851,-18.847841
9,48.722813,-18.773434
2,2.3622327,-25.390453
9,47.277573,-11.57605
4,-56.340202,15.44559
1,40.33995,23.55497
2,2.131952,-40.64955
9,33.01498,-3.3192441
2,-3.1833909,-34.807026
7,-29.19781,26.262707
8,24.135796,-50.113518
5,8.334021,39.797806
9,40.038418,0.8173035
0,21.870111,-7.0484767
3,-21.716982,2.5927973
0,9.066581,-8.396348
1,44.29512,26.759617
9,37.954765,-10.204697
1,29.52081,12.129632
8,29.334723,-34.575
6,-21.69219,-21.869526
2,0.10566537,-29.366564
0,16.764256,5.982716
8,28.24234,-33.056202
2,5.3979425,-39.067585
4,-32.77101,16.240412
1,36.332947,37.147346
2,-13.317901,-47.549194
5,-7.686115,29.858395
5,12.560516,26.611628
1,22.087103,23.599092
9,46.66426,7.6021757
8,24.147825,-53.165398
5,-7.675822,22.268787
3,-23.40867,7.0615597
6,-32.417362,-8.996413
5,8.122408,38.096024
9,48.03175,-8.512125
5,-2.1571674,46.8648
4,-37.894524,13.417666
6,-33.650406,-37.815693
9,46.648468,-19.741405
0,13.29346,-7.646454
6,-42.833076,-33.582153
8,22.265566,-31.945927
5,15.482623,49.13457
6,-22.187433,-19.279833
9,56.529816,-7.0107737
1,2.1862411,-27.363325
4,-45.383877,0.641777
3,-16.891714,-10.085657
8,30.059069,-43.355335
3,-3.9746735,12.908833
7,-22.610918,52.19843
8,23.822735,-36.713345
6,-29.709589,-14.161024
5,6.5699015,37.88003
3,-16.2446,-11.68994
0,21.034718,-7.626205
9,42.089233,-0.67095125
3,-21.153488,-2.3934615
9,28.507278,-10.988016
1,34.292355,22.073742
5,7.005121,39.918373
6,-30.834623,-15.957181
6,-22.809656,-34.952667
9,37.86614,-4.8510327
6,-20.359798,-27.72759
0,-0.9361531,-19.191359
5,-14.886651,25.325298
1,29.26483,27.416891
1,26.696556,15.099201
