,0,1
1,27.65968,-41.884552
5,-43.98971,-36.843403
2,-29.980614,19.746624
4,-3.9842596,-19.190554
3,-50.13229,10.485653
0,20.209612,-2.3807435
2,-35.796528,20.915583
6,-46.964287,30.035698
1,37.86406,-44.146168
3,-50.31892,10.504637
4,-30.266968,20.4558
5,-51.70456,-6.421652
5,-33.99017,5.27063
8,56.180565,0.83698386
0,17.074894,2.6294184
3,-34.774487,5.7414794
5,10.250696,-1.0110772
3,-42.333035,-1.7950146
9,25.094406,-40.307945
4,-27.726984,17.664436
4,-25.073578,28.452827
6,-37.55166,7.5269804
2,-1.9840919,43.734592
6,-44.587246,23.287066
5,-35.8833,20.612326
6,-43.260284,36.764183
7,-38.709564,-32.33453
8,51.692253,1.8801075
2,-36.37649,9.704078
0,25.965014,-2.4123728
9,-1.2218574,-48.905045
1,29.10661,-42.863243
8,51.527657,0.69710004
8,9.924437,7.247009
6,-30.388954,22.33774
9,8.791696,-0.30350995
3,-45.680878,17.256855
9,-2.228333,-36.64706
8,50.457905,-3.1473312
4,-38.929783,-31.897612
9,0.99209577,-34.973812
0,17.251976,2.9412396
7,-38.748356,-35.065887
2,-7.459324,45.398186
7,-45.130077,27.532871
9,15.054368,-24.635881
7,-38.239494,-30.11063
3,-42.18359,-1.3766133
7,-47.63874,7.019454
8,11.979122,4.7573223
9,23.628202,-29.600018
9,24.965992,-39.99681
5,-49.21485,5.8683367
1,38.431843,-47.130653
8,52.783104,-3.6572533
2,11.782102,4.2497926
3,-49.71416,0.9349628
4,-38.84729,32.23804
3,-43.202835,-30.333652
1,8.88949,0.31641388
6,50.18456,-2.9547045
8,50.13278,-0.40576935
4,-24.765835,24.853703
5,-57.441124,-7.617046
6,-36.97481,22.03481
3,-51.02676,0.73758596
6,-49.42382,3.1144967
8,26.87462,-30.816034
9,-1.6789949,-48.492577
2,13.270217,3.753765
3,-36.116325,21.48597
7,-34.65369,17.65138
9,-2.5434554,-46.724377
7,-38.54227,-31.607899
8,51.57129,1.609974
1,-6.0812964,-34.856476
0,20.716915,-2.5636616
2,-1.8622016,43.70904
2,11.019996,5.2685194
0,11.735574,0.63402
7,-43.265575,-37.07609
1,39.249588,-46.981644
9,0.74509394,-32.770687
1,28.916536,-41.227676
0,20.855503,1.1635154
6,-43.54874,35.75293
0,19.173826,-5.77418
3,-54.771694,-9.487887
7,-40.736374,0.45144486
9,-1.1911085,-38.543407
9,-26.69251,4.813898
4,-34.95426,23.849287
8,51.94457,-0.74934316
2,-32.595196,16.416887
9,7.0973,0.069031164
9,-1.5892901,-46.288734
4,-29.549026,15.751849
9,-1.7208215,-43.442265
6,-44.220688,36.25033
1,14.438024,-4.9975295
4,-31.418379,15.087151
4,-32.516994,26.16737
7,-38.014545,-34.183517
3,-30.87849,7.127413
4,-35.014538,23.502354
4,-34.395226,14.83953
4,-33.33893,19.945862
8,51.75055,1.9983833
4,-35.595093,23.73476
2,-51.832577,-7.7788405
6,-45.84361,19.52063
1,24.00556,-34.163277
7,-38.77237,-29.754555
3,-51.244633,0.58958435
8,7.1757636,0.08653645
2,-1.9901935,43.748188
1,36.81489,-42.892456
9,-1.7665921,-38.507374
9,-2.8424726,-42.923294
7,-33.93903,5.5654354
4,-27.642988,4.1798577
5,-27.302565,6.1359334
3,-50.30183,5.3285236
6,58.151752,-3.611901
3,-5.662214,-37.72961
0,18.826899,-1.9857315
1,27.250975,-43.941376
8,11.9925785,1.190614
9,-4.63271,-24.725842
3,-47.188625,6.541006
0,12.007171,4.6382008
2,-29.938364,21.66252
6,-45.713383,36.70674
5,-48.78056,6.1429644
9,-4.681018,-38.571484
3,-37.294567,7.848103
8,13.689041,7.142095
8,60.423557,4.3433967
3,-48.60439,2.8174493
8,9.301312,4.0844917
3,-34.547855,21.165777
9,-1.389545,-46.739277
1,41.07181,-48.397213
3,-51.441414,-5.3949738
8,11.2772875,6.9774804
6,-44.83827,27.680758
6,-43.753777,35.26293
7,-38.4756,-31.234152
2,11.869515,4.3790154
9,15.760979,-25.381968
7,-30.890354,7.15936
2,9.380439,3.4048364
2,16.12416,27.656982
4,-29.58176,21.957972
3,-36.075134,6.345281
9,21.536106,-6.4924746
5,-36.004585,-26.31604
1,31.574068,-44.974567
3,-28.42822,12.319929
5,-52.244778,-8.371276
3,-36.270706,6.594269
0,21.179644,-5.2506495
6,-43.417274,35.516266
0,14.725048,-24.839674
9,-2.4237366,-38.60414
1,38.061806,-47.183258
6,-46.96862,30.09845
7,-36.722374,-41.75086
1,30.185621,-37.37159
6,-38.46098,27.99343
8,7.2293,0.17119056
0,19.422411,-4.2224183
9,-0.41298783,-46.673466
6,-30.051506,7.1848207
8,10.039908,6.0351696
0,-7.2908635,-19.731634
1,-4.344192,-19.703453
3,-35.179234,6.030315
3,-34.95535,9.275022
4,-30.541313,22.20975
6,-45.00843,38.96948
8,50.18011,1.7985904
3,-50.820156,4.915111
2,-22.769249,23.012867
7,-41.170567,-30.475527
4,-30.470043,19.712103
8,27.164679,-31.047312
2,-35.798595,20.298344
5,-48.818005,6.325497
0,-4.6875434,-35.11229
3,-38.61898,11.261859
9,-1.5745593,-46.347866
2,-34.82762,19.92125
5,-51.29073,25.813616
1,32.67103,-44.322403
7,-41.36855,-37.069443
2,-37.226727,20.445177
7,-37.45164,-31.481031
8,57.296124,2.8665302
5,-52.01622,-5.2548146
2,11.561393,0.6150596
0,-4.4535418,-20.339685
2,-37.076668,22.831541
8,56.14197,0.5886149
5,-54.93492,-14.041399
