,0,1
3,15.818495,41.72656
8,-39.73148,-13.059703
8,-29.057219,-6.317244
1,-43.64046,31.372772
7,54.916233,-1.6993746
6,-21.425026,-20.269875
6,-6.877203,-25.17899
7,33.471237,12.22962
6,-15.520253,-30.214943
8,-21.015602,-4.5475516
4,36.271553,-25.093842
0,16.652185,-7.7013364
4,21.700941,-24.198202
9,8.127587,-33.630283
1,-40.790833,31.436611
3,28.927296,34.855778
5,-1.4894269,42.3227
4,18.725948,-28.801565
8,-37.36909,-11.204356
5,-14.114248,47.099
2,-21.326225,11.428883
2,-21.40687,4.669274
8,-42.48521,-9.453482
6,-20.902761,-39.64284
2,-20.659763,16.053549
5,-11.843213,51.866478
4,43.697704,-23.599691
1,-34.840477,31.949673
4,17.58586,-18.61164
9,10.82953,-42.869225
8,-20.051561,-5.196755
0,10.191001,-8.873489
4,29.276033,-15.787894
8,-34.412457,-15.87138
2,-12.84753,21.336472
7,-12.214326,6.7167945
5,-10.654999,43.00241
8,-17.640419,-10.74937
7,31.328165,16.25633
0,3.940871,-4.115468
2,-16.571037,10.753235
9,11.519337,-53.35092
9,-10.212603,-42.29612
1,-24.240005,24.390612
6,-33.972588,-35.210358
6,-23.254128,-29.56415
1,-27.075228,25.6242
1,-49.471096,18.318283
7,37.80638,7.052652
7,39.394875,18.867908
7,48.684345,0.44770265
7,51.27354,7.043752
0,8.509079,8.055632
4,26.365862,-25.454395
9,12.401891,-36.319344
0,15.814006,1.4139416
7,33.195293,6.7120605
0,26.682722,0.2688972
9,-6.267096,-47.976837
4,36.145218,-19.612394
3,18.719204,27.38455
3,29.324999,21.339022
9,-4.9956737,-40.068188
9,-10.061852,-41.385365
5,-5.611858,46.758377
8,-52.122437,-12.70495
1,-43.114746,28.75546
9,1.737141,-27.548454
6,-18.053267,-32.40897
9,6.284861,-35.79082
7,41.03461,-0.83908933
8,-57.092823,-11.845406
7,41.58987,4.9651265
3,28.880228,21.438044
0,20.352394,-8.082936
8,-19.498486,-9.96573
0,11.846698,3.303788
7,32.727726,8.72197
1,-45.43351,10.9695425
1,-40.090206,14.609734
2,-3.2434793,-0.66309506
5,0.966172,37.13389
5,2.4822826,42.616734
5,-9.334347,50.152096
7,40.2075,8.416478
5,-3.236763,47.363594
7,39.582035,-7.444507
3,19.75504,32.669334
3,15.818693,43.18434
6,-9.546916,-27.012442
0,3.994525,-1.9184705
6,-25.725025,-33.773914
7,50.94946,-2.7647088
4,30.973206,-27.509996
0,18.241459,-5.398706
4,35.893177,-28.408773
0,27.314262,-4.725739
7,33.890907,14.009522
6,-15.268958,-31.045202
4,44.96387,-21.635181
7,27.392935,10.526251
7,27.859144,9.041727
3,15.898484,33.311264
5,-0.9468404,51.838627
0,2.2467434,0.76890945
0,22.24794,-4.2537374
7,32.32733,8.163666
9,-0.82090884,-56.66699
0,8.282862,-1.4271203
4,20.523975,-22.23944
4,38.980915,-27.899813
5,-10.675473,42.08543
5,-14.885039,41.739677
8,-37.510544,-15.629671
4,20.707666,-21.745436
8,-46.09102,-15.676211
1,-53.016155,19.227497
6,-35.29998,-34.314255
7,42.21138,10.181444
6,-13.422874,-19.4092
2,-6.548775,-4.5003915
1,-48.15967,25.428097
8,-50.270325,-7.2643065
1,-46.200382,14.485133
4,11.923308,-19.930525
4,35.483337,-16.85243
5,-0.62253916,21.108557
5,8.678677,41.036522
8,-36.90081,-16.346092
0,0.6495279,-11.474499
2,-3.0992248,9.931656
7,54.489323,-4.51835
2,-5.715194,26.938717
6,-10.290255,-24.162277
2,-11.186492,-12.384302
2,-3.9011884,22.29503
3,24.140684,37.653847
2,-19.463118,15.421284
3,12.097387,29.171072
0,9.662544,-12.258214
3,33.24297,31.063995
0,7.722927,-2.6860394
0,7.0762353,-11.833691
4,25.764175,-33.815056
3,22.07422,19.985983
2,-21.407904,6.591596
5,-10.545838,50.23483
3,29.961351,31.442764
1,-37.109882,17.621643
5,-13.216455,35.404648
4,30.786621,-31.47401
2,-9.363519,18.477646
6,-30.128853,-41.013435
8,-51.770622,-3.1105347
0,-3.5713987,-5.157994
0,13.240396,7.6954484
0,16.798,-3.431112
1,-42.15166,20.047949
0,-0.7357639,-6.113965
6,-9.697962,-25.600548
5,-15.842621,50.412365
0,3.1808074,-0.904724
0,7.5468493,-7.0925326
0,1.7738662,2.5038188
2,-8.634753,21.040224
5,-15.286349,31.325714
1,-49.60554,27.26837
8,-14.758805,-10.602152
0,21.321331,0.7000136
6,-25.005726,-32.875298
4,29.373598,-24.366022
1,-41.63098,17.718641
1,-31.389421,31.488934
8,-47.774944,-14.866553
0,17.449501,1.800288
7,48.428066,10.836659
1,-28.726648,25.325005
5,-11.071516,50.50781
3,-5.6527452,-21.753212
1,-37.51783,17.970556
9,12.099241,-47.96785
5,-0.6671057,37.66648
4,6.3618584,-16.973265
8,-41.93338,-16.793402
6,-17.330624,-27.886255
0,18.46916,-9.401862
6,-27.291414,-20.456999
3,22.35116,23.732256
8,-38.324856,-6.9893847
7,38.26138,10.070316
0,7.1136537,-10.044277
4,27.667847,-22.435957
0,19.585648,-9.895313
2,-17.884554,18.316902
4,3.618756,-19.477392
1,-31.899662,24.434929
0,11.211403,8.193848
7,58.80451,-0.23801957
3,26.669792,39.84349
8,-23.777363,-9.758719
0,12.23363,-10.333106
3,27.643093,29.8387
6,-35.583393,-29.07306
6,-35.09609,-32.546654
1,4.0781345,-26.963842
5,-14.500569,36.255486
6,-18.472353,-28.39715
0,17.367197,4.1975203
2,-13.257719,12.446119
5,-7.3740616,41.09364
4,37.12767,-33.13279
3,27.289228,26.961689
6,23.61466,18.14474
7,42.385956,2.195241
2,-9.500713,17.662565
6,4.8093357,-36.662006
7,41.13693,-0.53056675
8,-36.527523,-10.841039
0,13.897781,5.4397273
5,0.49768877,39.350098
9,4.1059327,-37.329105
1,-32.738396,18.43856
8,-33.808334,-14.374578
8,-46.40669,-8.225197
7,56.902935,1.3629155
7,45.527157,2.1888297
2,-6.895842,-11.604583
4,24.627977,-34.10135
8,-50.37285,-15.640798
3,31.993252,34.54842
4,32.61098,-28.491442
2,-5.9415126,12.667553
7,35.890144,6.3974495
9,-4.325997,-52.799007
8,-23.339184,-2.8381727
5,-1.5258621,42.847374
7,63.307858,1.993569
1,-42.775223,21.817009
2,-11.195686,5.3639903
2,-10.403808,1.6739126
6,-24.183447,-32.656723
3,15.114702,30.986088
0,14.189376,-5.288768
2,-15.162904,15.61557
0,-0.20483375,-4.7715936
0,24.542301,-4.452013
5,-9.570363,40.89907
2,-2.145371,-2.326502
5,3.622929,32.28996
3,9.201345,-29.068998
8,-18.190681,-6.043361
5,1.9154768,33.49251
