,0,1
0,-16.622679,43.85364
6,43.404644,7.4221354
8,2.9554205,21.50648
4,11.067857,21.977016
5,20.091671,-31.186918
5,12.052202,-32.22801
8,-32.028152,31.813993
4,7.4821343,35.038074
5,-1.1616441,11.286067
7,-34.158527,-15.949769
5,27.196167,-27.299204
5,16.857067,11.890063
9,-51.779064,1.3439212
8,-15.830427,21.978903
0,2.4071605,41.260952
5,12.733736,-5.0516176
9,-34.559284,-12.475626
3,21.339806,-23.524036
7,-2.7086976,-36.500843
3,38.32625,21.085835
0,-7.1081324,17.09139
8,-50.984818,7.027349
3,40.29886,7.8188353
0,-13.508676,46.775887
4,21.841627,14.387721
9,-33.283188,0.039594278
7,15.215333,-1.5256305
8,-24.790878,37.372494
1,-32.78649,8.511604
9,-43.676594,-14.9060755
3,2.8649387,41.97132
8,-42.090137,28.0524
6,29.494783,22.947638
2,8.761515,38.22831
6,41.052902,11.728139
3,30.815033,-10.326346
7,-18.521671,-38.40456
2,15.39152,29.00078
6,31.277987,-7.416995
9,-25.193727,13.316883
3,30.941383,-26.952013
2,46.08989,-20.071102
7,8.053665,-1.4098135
5,18.588686,12.63155
9,-19.621426,-22.06796
9,-32.41775,14.042737
6,27.658978,11.733713
1,-29.983082,2.006812
5,7.256426,-12.22076
1,-50.318863,5.845231
4,12.171844,8.296951
1,-50.40309,6.129949
9,-27.418089,-20.05316
0,-8.036532,34.597805
8,-41.78204,31.620129
5,-35.596638,5.848786
9,-31.01724,14.183728
9,-18.167576,31.995478
8,-20.493923,21.343088
5,-5.3279247,-41.76154
1,-44.32553,1.8405226
0,-26.171272,32.937504
5,0.044546705,-32.805214
2,37.87286,21.47115
8,-32.534958,1.5716617
6,36.342697,28.776093
8,-40.04651,33.180096
9,-20.319576,-18.093666
5,1.0734962,14.636666
6,29.529541,0.6049624
9,-29.709412,-13.658171
2,41.190445,11.632147
9,-34.707615,-12.670828
3,3.5121129,19.886395
7,-15.164654,-42.69784
3,1.0859456,15.297508
8,-30.702791,35.255146
1,40.845306,11.82707
8,-40.59027,17.540842
9,-31.291807,-29.146223
7,11.411437,17.255123
8,-42.304695,23.40698
0,-10.920633,46.19069
4,33.132,16.81075
7,-13.818317,-47.191166
9,-29.86235,1.9199078
7,-11.506305,-28.741179
7,-10.953673,-29.14514
9,-25.802584,-15.360823
7,41.63774,-10.846969
8,-38.724873,35.42877
1,-36.47748,2.1478481
6,42.74798,7.1192374
3,10.6742935,-0.24229264
2,31.109968,23.462502
6,-1.7767454,6.4162154
5,10.5114,-15.01809
3,-14.97909,-1.636134
7,-10.266965,-29.600462
0,3.3263607,12.540698
8,-24.43893,28.597006
3,-6.8492045,-14.589157
0,-14.54527,27.134651
8,-35.875015,27.75629
6,46.434975,6.779121
8,-42.22581,23.249527
6,51.08484,3.3131988
0,-23.58124,12.720664
9,-17.770145,3.2722194
6,-15.403039,22.10879
0,-11.412392,47.610966
1,-42.772682,6.308771
6,37.152718,12.582015
2,-15.970183,21.678272
3,43.848705,-13.443129
0,-20.101465,9.75979
3,10.606727,1.3364367
7,-10.554654,-26.37581
3,11.481776,0.25756437
5,6.6712847,6.7608476
6,38.048286,21.64467
2,21.763645,36.711006
1,-44.39216,1.5783771
1,-31.428267,1.6758473
8,-10.946955,4.5307865
3,37.479088,5.047934
9,-28.308075,9.314891
5,14.516553,-38.764908
0,-24.443289,17.652878
2,36.538403,28.940567
1,-22.446213,-6.179389
7,14.348982,-0.39554885
9,-27.58261,-21.670292
3,25.349318,-14.179646
1,-34.24818,0.30017516
1,-41.840115,13.623854
4,21.749893,17.292492
7,26.551968,-1.7816632
2,-16.00809,21.011051
1,-44.37793,-0.30814505
3,30.976847,-31.483423
3,32.583656,21.73063
6,46.440742,6.6103983
7,-5.120038,-42.116486
3,-11.966739,-21.589754
1,-52.724857,0.26913837
1,-44.42646,2.2597532
2,31.983152,1.2806158
3,42.38093,7.535879
9,-32.14068,-27.584496
3,-4.2030654,-26.025728
0,-5.0502467,24.556799
0,-17.198833,40.25835
9,-28.3685,15.3035965
9,-34.06644,-28.050188
2,49.227753,12.907769
0,-42.160995,28.40957
8,-33.141777,27.790483
8,-25.596922,29.511898
7,-1.6142013,-10.678652
1,-48.168713,8.8226185
2,19.20846,17.40184
9,-28.880823,-15.701486
8,-30.246334,6.7500367
7,-19.239296,-41.229874
0,-20.957476,42.22171
4,-5.741619,-41.574947
1,-51.311005,5.559827
5,11.337484,-13.878063
1,-36.28198,1.200872
6,44.16805,-15.294806
6,1.0705808,9.048548
3,-36.806225,23.526764
4,9.842157,-1.3118076
7,-9.768431,-21.364098
8,-29.021025,39.58554
5,0.92886424,15.472333
8,-31.310722,35.555367
5,14.220462,11.181287
8,-41.56711,33.175518
8,-17.952278,4.613632
8,-23.327099,33.058327
5,29.483467,-9.201507
2,32.474583,-14.830763
5,3.1466746,-11.062112
6,49.131363,-0.00010623058
7,-27.747858,-8.136283
0,12.964905,37.098812
2,13.309487,37.64555
3,34.918777,-10.634419
3,19.778006,-3.7939637
4,1.2600985,-11.94246
5,-9.382184,26.628826
5,20.023993,-5.0978136
7,-13.384502,-40.72195
1,-16.633883,18.867285
4,29.718306,21.61873
2,-27.185604,-3.958013
8,-28.84078,39.70394
2,46.15939,6.555373
3,33.034775,-5.6788516
9,-29.65705,-13.535285
8,-33.67801,22.21827
3,27.209684,-17.70993
7,-12.376507,24.500713
0,-42.953857,10.008438
8,-33.396683,27.883278
