,0,1
2,-14.624743,-36.936935
7,-31.17737,16.78365
0,10.276835,-19.107557
5,-4.2900763,47.053097
3,-3.1137009,18.796078
5,-1.4646996,39.400078
6,-46.030895,-21.703678
0,16.880344,-39.26024
6,-41.732212,-35.744896
3,-5.431834,-7.8175445
5,1.7754302,39.632805
9,31.997353,8.1183815
3,-6.2529583,7.1443677
1,20.383219,15.067386
9,21.896812,5.3790617
2,0.34877792,-16.966087
9,31.913433,3.2777634
4,-46.7166,5.2349863
1,30.780838,23.19146
2,-4.7385206,-23.141443
9,22.588676,-3.508998
2,-5.473285,-32.094723
7,13.732634,-10.65321
8,27.632925,-27.199713
5,-7.2075005,18.783342
9,19.583683,-0.1256627
0,13.9908695,-20.301044
3,-11.411719,0.9969909
0,3.3411167,-15.060725
1,23.406975,36.06356
9,31.005264,-4.531998
1,23.191866,17.492281
8,21.028048,-24.340899
6,-42.447987,-22.68944
2,-27.455902,-18.422552
0,2.2619774,-27.637764
8,43.71905,-14.889453
2,-11.205755,-21.342905
4,-14.927409,-5.095525
1,24.982273,33.42043
2,-20.682034,-29.56142
5,-23.311543,3.1289923
5,-5.5327897,-29.897974
1,21.043839,28.819555
9,22.61765,3.5342755
8,49.318535,-25.234184
5,-0.13493414,-1.2212702
3,-14.617138,2.0261579
6,-31.101507,-11.979931
5,7.15945,36.690845
9,40.178276,2.9360886
5,1.1829801,33.25798
4,-35.48816,9.901618
6,-37.92798,-25.757559
9,33.83083,-4.642567
0,0.4615178,-24.513308
6,-39.77918,-28.450344
8,43.69839,-14.684315
5,4.3069096,46.25813
6,17.321787,6.7864537
9,24.708149,4.1812906
1,-23.233776,17.352362
4,-43.59739,7.6174364
3,-6.540285,6.9269705
8,44.612278,-28.556387
3,-7.076494,12.113922
7,-40.741135,32.3563
8,39.994312,-18.784567
6,-17.040308,-3.7653494
5,-10.178022,30.76141
3,-9.746175,0.31309256
0,17.845192,-29.759138
9,20.639927,0.5898479
3,4.3106604,13.820627
9,28.131561,-2.660629
1,-32.530357,-32.840218
5,-7.030383,16.843567
6,-23.988375,-28.990757
6,-34.97113,-23.22826
9,35.285343,2.1955676
6,-25.501049,-15.665159
0,-21.505465,-1.3841088
5,-13.514381,28.219059
1,16.327465,23.600952
1,24.406883,26.459593
8,13.706119,-5.3998013
9,29.594969,6.4479227
9,31.170017,9.877987
9,42.835876,13.447873
4,-21.908098,5.421437
1,19.834436,33.7294
8,39.482887,-22.535692
5,-10.466783,25.222904
4,-35.16334,6.5952725
5,3.148071,14.344434
0,18.194016,-42.372215
0,14.701574,-12.890176
2,-16.012999,-11.999709
1,19.33459,28.885576
9,44.546783,13.335353
7,-27.497765,29.620697
5,2.6731422,34.69363
8,39.730515,-19.104673
6,-34.377106,-26.267473
3,-2.0164533,9.658663
9,36.486336,4.0686235
0,17.025833,-23.483864
9,28.569084,6.8012333
6,-37.006344,-26.435722
9,43.106476,6.2802806
7,-21.766409,33.62929
1,23.487501,31.498396
2,-6.2512164,-12.406754
1,38.693203,34.225887
0,3.0189545,-3.935258
4,-38.328648,-3.9096372
2,-14.18904,-25.66443
9,-22.249872,-4.1655183
4,-32.120647,-2.6407888
7,-32.55246,31.448833
1,30.658972,38.92297
5,1.7697653,42.72805
9,21.942303,-15.565618
0,3.4535956,-35.93352
5,-28.645433,-15.762326
0,7.6166625,-37.211815
5,6.131588,45.147877
2,-7.3897185,-25.028008
4,-45.564095,-2.8349466
4,-33.610123,1.4889269
1,23.823513,41.315083
8,42.10285,-29.948292
9,47.42252,10.995411
4,-26.816643,-6.1306276
0,3.280429,-31.046745
7,-33.941566,24.1733
7,-35.863632,26.897827
3,12.380011,18.412958
7,-36.99551,33.06132
6,-39.907448,-31.681015
3,1.4971286,22.27096
5,-6.048559,24.14664
0,17.116661,-40.288708
2,-6.5043645,-14.181193
5,-10.256557,42.848354
4,-29.627897,7.049892
7,28.060215,25.629683
7,-28.986925,40.723297
4,-41.182384,-3.5228903
2,6.0766807,-11.7977295
5,-2.0356698,5.4037647
4,-11.397656,-21.121721
8,26.499401,-20.42471
8,29.750557,-28.99662
8,34.171597,-10.85805
7,-23.432528,27.306309
6,-25.340275,-24.595394
4,-46.35126,8.974342
5,-3.7056088,24.491018
7,-24.847885,41.28668
8,32.131886,-35.347565
9,20.629005,8.076814
2,-5.511528,-23.484404
9,27.567728,-6.042896
4,-47.148067,1.9711443
6,-38.662975,-22.840878
4,-0.07436523,1.9507201
2,-9.608389,-33.42968
2,1.6278307,-12.450669
9,19.306433,-10.198143
4,-45.693592,8.932888
4,-21.339281,-3.8925612
1,18.12928,24.028019
2,-9.2469635,-10.871398
3,6.202451,18.878647
5,-14.1381035,-0.53138566
7,-16.423801,25.549124
6,-44.408794,-33.919697
2,-0.9341419,-24.597046
5,-4.524971,38.220432
4,-48.877804,5.4743176
7,-34.63416,29.690153
1,40.18096,29.332901
1,29.76727,40.827785
6,-24.726088,-16.144085
2,-21.532763,-35.65978
0,10.072984,-46.02917
7,-14.489869,23.706022
7,-28.601923,39.156616
4,-33.906685,13.822864
1,27.173885,20.570898
9,37.167557,-2.511687
8,29.119623,-12.485409
3,-9.784766,-4.5569415
2,-15.989273,-8.456236
9,40.291485,0.0374179
1,27.484838,39.112938
2,-20.418304,-5.88446
9,26.592022,13.530257
0,9.323148,-9.044155
5,-1.1250774,23.582436
4,-36.082684,12.54201
6,-46.578323,-32.60215
9,37.578274,-5.6756682
7,-15.869741,32.66607
5,5.909165,28.126009
0,19.987377,-44.10674
4,-39.588024,0.4877352
0,13.49371,-38.96544
2,-8.869335,-36.773796
8,14.606789,-10.046986
7,-26.837206,11.626538
0,21.561474,-9.189114
2,-12.791417,-28.56213
3,5.2688484,14.538838
6,-36.22271,-31.009155
2,-12.852945,-30.802742
1,20.669998,21.302616
6,-37.989132,-14.131123
1,27.7406,18.513443
9,27.797258,-14.119705
9,36.62717,1.1533896
7,-20.511368,-0.25379932
2,-5.297888,-30.524303
8,38.87763,30.303783
0,13.607973,-42.93456
4,-27.852743,-3.6196504
3,3.9520173,7.9637895
4,-32.149574,-0.061673354
9,39.32506,9.6136465
1,29.10489,25.501408
8,30.255838,-16.7626
9,48.935207,10.752047
3,-10.909765,-9.860963
1,32.614124,17.644129
2,-5.9048753,-0.22133401
3,7.1693025,19.293066
8,37.434017,-22.108553
0,13.504235,-45.31704
8,38.79903,-28.02643
1,38.260742,28.22352
5,-33.89373,15.431166
2,-5.4458694,-17.511885
2,-12.126985,-42.032925
7,-35.91091,29.983591
6,-34.982494,-27.605774
0,6.235926,-33.410393
6,-34.28417,-9.583031
0,11.585608,-27.098854
9,42.584618,-3.7150388
3,11.481453,15.658046
1,21.378828,29.297537
7,-35.64689,18.571344
1,25.95361,14.59093
4,-4.632009,-17.054977
7,-38.250027,37.10686
3,-3.4568357,3.6000755
4,-34.69613,6.751809
7,-42.078735,28.31888
9,26.257538,0.38352573
3,-0.40315878,12.696971
2,-10.929443,-43.07794
9,15.856619,-6.0471644
2,-17.218006,-21.778229
6,-26.190577,-30.734364
0,2.2815237,-30.69555
3,8.308933,16.259178
0,14.09198,-30.297855
5,4.348483,46.126427
8,39.08627,-29.5313
3,-4.06514,29.50345
0,17.184252,-11.794923
1,38.456898,30.371666
1,28.149897,45.852966
3,13.230381,13.427612
4,-41.81178,-5.428766
0,4.227418,-39.329002
4,-22.032152,5.4286776
3,-26.56553,-8.577934
8,40.713776,-26.25346
8,32.35329,-11.646796
6,-30.337244,-19.795952
3,3.2755651,-9.066393
9,45.338825,5.151609
3,-9.848378,9.592311
1,34.56031,24.43252
6,-29.975155,-29.655106
7,-23.95239,25.130411
7,-30.767265,30.451792
6,-39.830463,-37.095528
9,30.005268,-2.2186177
0,21.833702,-38.89935
2,-9.075076,-38.08056
5,-2.8424628,33.421417
5,8.060536,36.899067
7,-36.226017,36.459263
8,37.966465,-21.238518
1,38.25693,7.6767135
9,43.725563,9.586166
7,-21.86405,20.758724
6,-32.320858,-24.790335
4,-39.586212,0.3656655
3,11.9900675,11.816761
5,-12.474773,5.906234
0,8.131096,-36.411224
7,-22.22486,23.679235
0,5.7777467,-18.580761
4,-39.93967,11.3488455
9,24.798403,1.0900582
1,28.159578,35.3754
9,32.98299,10.036623
0,1.001177,-20.631268
8,35.91823,-28.114063
9,24.376648,-0.7519881
9,28.984148,-5.3302774
3,-10.374506,9.120052
6,-33.92045,-12.347077
3,13.778686,18.3519
6,-37.862762,-11.700456
4,3.598716,-42.098938
9,30.856014,-1.7401173
9,35.193855,-4.602337
4,-48.497574,4.532698
4,-49.40593,8.200388
7,-29.512268,31.94476
3,-7.004486,23.29638
6,-41.030254,-35.85811
3,6.4970937,13.175498
0,13.494546,-44.957043
5,1.28976,28.807735
6,-30.773643,-31.883078
2,-23.391659,-24.867785
6,-32.722145,-9.535423
7,-37.313435,20.601843
3,-7.5435295,-0.54078627
9,35.571133,-1.5263531
8,40.373997,-31.062244
1,24.08096,41.56635
8,14.684861,-15.437006
6,-28.803194,-6.598463
7,-22.896631,20.868631
9,35.09257,9.9870825
1,19.725176,7.5294394
3,9.123565,20.161268
8,29.354305,-31.251905
7,-23.103107,23.90121
6,-23.889423,-15.864115
9,36.586624,-1.7525722
0,18.789797,-16.623314
2,-18.166073,-34.49936
1,30.397654,38.047554
1,38.497173,34.571316
8,30.790197,-16.198633
1,28.928972,42.879013
8,21.380966,-15.719701
5,-3.6680558,45.217335
7,-27.211077,-17.60702
7,-21.362013,33.47673
5,2.4318352,-1.3659683
6,-39.95565,-37.272358
7,-20.269371,35.720142
7,-27.306925,32.28384
1,24.785742,17.018076
8,41.79825,-27.166302
3,-0.8160321,12.412905
2,4.3922634,-44.11047
6,-26.341835,-22.595802
8,32.63323,-15.937502
1,21.036798,38.53918
0,0.58740497,-32.214924
5,2.100803,44.483315
6,-43.15468,-29.537266
7,-35.27714,20.536385
4,-29.343117,1.7260253
3,9.176659,16.84859
8,48.260994,-20.575085
4,-43.562458,-0.8959947
2,-3.4303606,-33.07111
4,-42.326817,-1.8074739
0,18.040546,-37.14375
2,-7.8424506,-21.659039
7,-40.674637,25.249987
1,16.946465,32.36755
8,-0.066408075,-14.017522
6,-31.510685,-34.97766
9,32.401783,1.697484
2,-16.02764,-13.148847
5,-8.179699,25.518194
0,2.8693373,-21.648703
9,30.266697,3.8739207
4,-42.91573,6.166849
3,1.332809,0.24414034
1,28.212057,17.780329
8,24.369764,-20.70943
7,-0.32398397,-5.956147
8,24.370218,-14.813972
5,-3.273184,45.681774
2,-10.9239235,-41.889378
7,-34.514874,20.825472
0,7.0228987,-20.872211
3,-14.032312,5.0742188
6,-43.757362,-26.585018
5,-5.326966,23.34721
8,38.73468,-30.901281
5,-2.6315331,-10.281933
1,20.096218,39.29499
0,23.016857,-23.889935
1,36.321896,26.588503
1,29.448332,36.18704
2,-0.84614706,-24.973825
7,-36.713745,31.06162
3,7.8024244,14.488043
3,10.404562,6.615692
2,-6.1209216,-12.886779
6,-32.045692,-36.73777
6,-34.645008,-14.22861
9,29.227076,-4.1811504
7,17.969667,5.7329726
9,19.383017,-1.0834103
6,-38.380928,-19.717716
3,-12.581354,21.560078
3,-8.727923,11.059321
8,46.480835,-22.743113
9,23.28334,7.507519
0,13.776753,-44.570446
5,-28.17497,0.5480681
8,43.57286,-20.429518
0,8.906916,-17.282278
5,4.822676,-5.8484645
9,16.463604,1.667371
9,29.622324,8.881641
0,5.884905,-27.105186
7,-27.00414,19.132229
0,19.751179,-38.719494
5,0.28791237,44.588997
3,-33.33322,-22.562378
0,17.99974,-44.245453
9,-27.370974,18.544998
2,-24.605007,-28.195385
8,41.423336,-29.27961
3,6.1809464,26.61353
5,-3.563968,-7.483386
9,32.028904,6.654003
2,-18.612967,-25.989904
9,41.491608,5.892108
7,-28.183767,31.896364
6,-42.927322,-15.922794
6,-36.286945,-31.665316
8,27.578442,-15.400289
8,-13.811359,-24.865005
5,0.4215799,32.25115
4,-28.164795,-7.2437983
7,-20.34693,20.62292
9,36.63607,-4.400351
1,20.991192,42.338448
6,-27.053423,-25.102589
4,-25.132906,3.4320369
7,-36.2086,30.31917
0,12.273218,-35.269623
7,-40.136555,28.181856
2,-13.79245,-30.210302
5,0.508991,38.0796
5,-0.33074632,45.947563
0,22.428677,-35.644817
4,-42.25744,10.609639
4,-27.495758,-1.4799247
8,24.604292,-19.114676
2,-19.692173,-29.75195
0,8.270995,-30.398018
0,9.17152,-33.058075
6,-37.749626,-11.8968935
4,-33.11727,13.354458
3,9.546537,10.969501
4,-29.19285,-0.068966866
5,8.755003,36.049114
2,-1.2845794,-7.9089546
0,16.821732,-37.30213
8,40.433727,-31.622322
4,-31.950266,-0.93115354
9,28.212793,16.058075
1,28.980505,25.111433
2,-7.772029,-28.90273
7,-33.228107,13.567611
2,-0.94381934,-29.465235
2,-3.4905925,-17.618662
2,-19.192389,-24.867027
5,6.274579,40.916035
5,-18.687618,14.516334
6,-33.48365,-28.984558
5,4.219703,43.680683
2,-16.483334,-3.7564075
2,-22.196922,-0.067819804
7,-23.369017,42.959625
7,-41.867905,23.988167
7,-35.861465,20.15412
0,4.5009866,-29.89708
6,-36.264645,-31.269304
2,-23.302616,-24.733782
6,-43.07943,-33.06003
7,-25.978456,27.492004
3,9.734674,11.193058
9,42.838634,-3.1820483
9,50.213108,2.6092536
8,47.733322,-18.329926
2,-27.907663,-2.7270112
5,7.5765114,31.550201
6,-32.448402,-23.623829
6,16.180794,-8.683286
5,-29.315845,11.8942
6,-31.981636,-10.201083
6,-43.366623,-17.688536
0,15.055143,-44.26738
4,-20.888184,-12.20846
4,-42.9797,-3.4422905
8,35.854946,-23.05019
7,-28.911371,28.547644
8,46.140923,-28.975803
0,12.716404,-24.275595
8,13.674107,-7.5672917
9,37.548298,13.518812
