,0,1
2,18.431482,-76.56018
8,18.431482,-76.56018
0,18.431482,-76.56018
7,18.431482,-76.56018
0,18.431482,-76.56018
1,18.431482,-76.56018
4,18.431482,-76.56018
6,18.431482,-76.56018
0,18.431482,-76.56018
2,18.431482,-76.56018
5,18.431482,-76.56018
3,18.431482,-76.56018
6,18.431482,-76.56018
1,18.431482,-76.56018
4,18.431482,-76.56018
2,18.431482,-76.56018
9,18.431482,-76.56018
7,18.431482,-76.56018
8,18.431482,-76.56018
2,18.431482,-76.56018
7,18.431482,-76.56018
6,18.431482,-76.56018
4,18.431482,-76.56018
3,18.431482,-76.56018
8,18.431482,-76.56018
6,18.431482,-76.56018
7,18.431482,-76.56018
2,18.431482,-76.56018
9,18.431482,-76.56018
5,18.431482,-76.56018
8,18.431482,-76.56018
5,18.431482,-76.56018
6,30.701038,-48.435513
9,30.701038,-48.435513
1,30.701038,-48.435513
6,30.701038,-48.435513
7,30.701038,-48.435513
3,30.701038,-48.435513
0,30.701038,-48.435513
6,30.701038,-48.435513
8,30.701038,-48.435513
9,30.701038,-48.435513
7,30.701038,-48.435513
1,30.701038,-48.435513
8,30.701038,-48.435513
9,30.701038,-48.435513
2,30.701038,-48.435513
5,30.701038,-48.435513
4,30.701038,-48.435513
6,30.701038,-48.435513
3,30.701038,-48.435513
1,30.701038,-48.435513
2,30.701038,-48.435513
2,30.701038,-48.435513
7,30.701038,-48.435513
8,30.701038,-48.435513
2,30.701038,-48.435513
3,30.701038,-48.435513
3,30.701038,-48.435513
2,30.701038,-48.435513
7,30.701038,-48.435513
4,30.701038,-48.435513
0,30.701038,-48.435513
0,30.701038,-48.435513
9,17.803015,-28.669003
1,17.803015,-28.669003
4,17.803015,-28.669003
8,17.803015,-28.669003
9,17.803015,-28.669003
3,17.803015,-28.669003
8,17.803015,-28.669003
2,17.803015,-28.669003
9,17.803015,-28.669003
6,17.803015,-28.669003
7,17.803015,-28.669003
0,17.803015,-28.669003
5,17.803015,-28.669003
6,17.803015,-28.669003
2,17.803015,-28.669003
4,17.803015,-28.669003
6,17.803015,-28.669003
1,17.803015,-28.669003
2,17.803015,-28.669003
2,17.803015,-28.669003
6,17.803015,-28.669003
2,17.803015,-28.669003
6,17.803015,-28.669003
9,17.803015,-28.669003
0,17.803015,-28.669003
8,17.803015,-28.669003
0,17.803015,-28.669003
0,17.803015,-28.669003
7,17.803015,-28.669003
9,17.803015,-28.669003
4,17.803015,-28.669003
5,17.803015,-28.669003
9,35.69756,-4.8865314
0,35.69756,-4.8865314
0,35.69756,-4.8865314
1,35.69756,-4.8865314
7,35.69756,-4.8865314
1,35.69756,-4.8865314
4,35.69756,-4.8865314
3,35.69756,-4.8865314
2,35.69756,-4.8865314
9,35.69756,-4.8865314
3,35.69756,-4.8865314
8,35.69756,-4.8865314
6,35.69756,-4.8865314
7,35.69756,-4.8865314
2,35.69756,-4.8865314
9,35.69756,-4.8865314
8,35.69756,-4.8865314
3,35.69756,-4.8865314
6,35.69756,-4.8865314
1,35.69756,-4.8865314
5,35.69756,-4.8865314
4,35.69756,-4.8865314
1,35.69756,-4.8865314
0,35.69756,-4.8865314
9,35.69756,-4.8865314
5,35.69756,-4.8865314
5,35.69756,-4.8865314
5,35.69756,-4.8865314
0,35.69756,-4.8865314
7,35.69756,-4.8865314
4,35.69756,-4.8865314
3,35.69756,-4.8865314
2,8.01203,55.2333
1,8.01203,55.2333
8,8.01203,55.2333
1,8.01203,55.2333
8,8.01203,55.2333
5,8.01203,55.2333
5,8.01203,55.2333
7,8.01203,55.2333
1,8.01203,55.2333
6,8.01203,55.2333
5,8.01203,55.2333
1,8.01203,55.2333
5,8.01203,55.2333
5,8.01203,55.2333
2,8.01203,55.2333
4,8.01203,55.2333
7,8.01203,55.2333
4,8.01203,55.2333
0,8.01203,55.2333
1,8.01203,55.2333
3,8.01203,55.2333
8,8.01203,55.2333
9,8.01203,55.2333
5,8.01203,55.2333
3,8.01203,55.2333
6,8.01203,55.2333
1,8.01203,55.2333
6,8.01203,55.2333
0,8.01203,55.2333
3,8.01203,55.2333
5,8.01203,55.2333
9,8.01203,55.2333
8,-65.05608,36.656166
4,-65.05608,36.656166
1,-65.05608,36.656166
1,-65.05608,36.656166
0,-65.05608,36.656166
3,-65.05608,36.656166
6,-65.05608,36.656166
5,-65.05607,36.656166
3,-65.05608,36.656166
0,-65.05608,36.656166
4,-65.05608,36.656166
8,-65.05608,36.656166
5,-65.05608,36.656166
8,-65.05608,36.656166
9,-65.05608,36.656166
8,-65.05608,36.656166
9,-65.05608,36.656166
6,-65.05608,36.656166
2,-65.05607,36.656166
5,-65.05608,36.656166
1,-65.05608,36.656166
5,-65.05608,36.656166
9,-65.05608,36.656166
5,-65.05607,36.656166
7,-65.05608,36.656166
7,-65.05607,36.656166
6,-65.05608,36.656166
3,-65.05608,36.656166
5,-65.05607,36.656166
1,-65.05608,36.656166
9,-65.05608,36.656166
5,-65.05608,36.656166
5,-44.41184,-1.0168277
3,-44.41184,-1.0168277
5,-44.41184,-1.0168277
2,-44.41184,-1.0168277
1,-44.41184,-1.0168277
7,-44.41184,-1.0168277
9,-44.41184,-1.0168277
6,-44.41184,-1.0168277
9,-44.41184,-1.0168277
9,-44.41184,-1.0168277
7,-44.41184,-1.0168277
3,-44.41184,-1.0168277
8,-44.41184,-1.0168277
8,-44.41184,-1.0168277
0,-44.41184,-1.0168277
2,-44.41184,-1.0168277
2,-44.41184,-1.0168277
1,-44.41184,-1.0168277
8,-44.41184,-1.0168277
3,-44.41184,-1.0168277
6,-44.41184,-1.0168277
3,-44.41184,-1.0168277
8,-44.41184,-1.0168277
3,-44.41184,-1.0168277
0,-44.41184,-1.0168277
5,-44.41184,-1.0168277
2,-44.41184,-1.0168277
9,-44.41184,-1.0168277
3,-44.41184,-1.0168277
3,-44.41184,-1.0168277
4,-44.41184,-1.0168277
5,-44.41184,-1.0168277
3,0.57519126,29.973303
3,0.57519126,29.973303
6,0.57519126,29.973303
1,0.57519126,29.973303
2,0.57519126,29.973303
0,0.57519126,29.973303
9,0.57519126,29.973303
5,0.57519126,29.973303
9,0.57519126,29.973303
8,0.57519126,29.973303
5,0.57519126,29.973303
4,0.57519126,29.973303
3,0.57519126,29.973303
1,0.57519126,29.973303
2,0.57519126,29.973303
9,0.57519126,29.973303
5,0.57519126,29.973303
9,0.57519126,29.973303
0,0.57519126,29.973303
8,0.57519126,29.973303
8,0.57519126,29.973303
2,0.57519126,29.973303
9,0.57519126,29.973303
0,0.57519126,29.973303
2,0.57519126,29.973303
0,0.57519126,29.973303
7,0.57519126,29.973303
3,0.57519126,29.973303
1,0.57519126,29.973303
4,0.57519126,29.973303
2,0.57519126,29.973303
8,0.57519126,29.973303
7,22.904076,75.468
6,22.904076,75.468
3,22.904076,75.468
2,22.904076,75.468
8,22.904076,75.468
1,22.904076,75.468
1,22.904076,75.468
9,22.904076,75.468
9,22.904076,75.468
2,22.904076,75.468
2,22.904076,75.468
7,22.904076,75.468
4,22.904076,75.468
3,22.904076,75.468
8,22.904076,75.468
1,22.904076,75.468
6,22.904076,75.468
9,22.904076,75.468
1,22.904076,75.468
8,22.904076,75.468
8,22.904076,75.468
0,22.904076,75.468
4,22.904076,75.468
1,22.904076,75.468
9,22.904076,75.468
6,22.904076,75.468
7,22.904076,75.468
6,22.904076,75.468
5,22.904076,75.468
3,22.904076,75.468
4,22.904076,75.468
8,22.904076,75.468
1,33.869957,-32.896896
4,33.869957,-32.896896
1,33.869957,-32.896896
2,33.869957,-32.896896
1,33.869957,-32.896896
2,33.869957,-32.896896
2,33.869957,-32.896896
6,33.869957,-32.896896
2,33.869957,-32.896896
3,33.869957,-32.896896
7,33.869957,-32.896896
9,33.869957,-32.896896
7,33.869957,-32.896896
6,33.869957,-32.896896
7,33.869957,-32.896896
9,33.869957,-32.896896
7,33.869957,-32.896896
1,33.869957,-32.896896
0,33.869957,-32.896896
6,33.869957,-32.896896
4,33.869957,-32.896896
3,33.869957,-32.896896
3,33.869957,-32.896896
1,33.869957,-32.896896
8,33.869957,-32.896896
6,33.869957,-32.896896
7,33.869957,-32.896896
