,0,1
2,-7.61565,2.5803998
5,-4.5335107,-17.772194
4,-25.764067,29.3837
8,33.871315,-8.169104
3,-23.43155,-15.26044
0,32.180363,21.832693
2,1.7747612,12.845191
9,-0.9087732,-45.295692
2,-5.1594586,-0.016831053
7,20.076939,28.5694
4,-28.338812,28.147854
9,1.3143597,-33.285915
1,24.37545,-20.935444
0,28.44291,-1.0947227
0,34.044056,12.616086
6,-24.948212,12.551664
9,4.129148,-35.277122
3,-25.980827,-6.5317264
8,40.4717,-13.296759
2,2.236163,15.392036
2,0.7346274,3.7671504
3,-25.57459,-15.940627
0,38.116932,21.587427
9,4.23696,-30.4193
3,-35.047806,-12.469902
8,12.323623,-10.848967
4,-8.342234,31.020363
5,-15.621852,-5.597946
6,-9.759256,-5.504932
3,-28.67161,-24.687235
9,6.0845,-19.499622
4,-9.484187,34.631195
1,12.959715,-35.09224
3,-4.397092,-16.67708
1,16.398834,-18.793093
0,41.774544,16.375328
6,-37.330986,15.297494
2,7.154974,10.389992
6,-32.0225,12.736367
1,14.265606,-13.634463
9,-0.33036953,-27.952225
3,-14.127726,2.7567654
5,-8.615637,2.154687
6,-33.10006,9.394601
8,24.86507,-2.9756808
7,16.261019,26.493069
9,-1.3067763,-21.186783
2,4.0348983,16.659388
4,-26.021858,28.269226
5,-14.458571,-5.065409
5,-14.372136,-27.865324
3,4.199181,-5.526894
4,-16.87868,24.429325
8,27.388378,19.918587
2,-22.219557,14.095129
5,-20.79538,-10.75086
9,-10.9037695,-34.11113
8,31.133806,-0.88798547
0,26.170202,13.344844
1,27.758,-18.37157
1,15.659764,-33.737656
7,16.86327,26.33041
3,-28.915663,-30.166975
3,-29.09746,-4.2473664
9,5.427205,-27.57565
6,-34.476875,23.627214
9,1.7728631,-21.042608
8,19.273788,-9.376827
7,7.0839725,40.356426
7,6.1506023,41.831245
3,-33.99167,-15.012219
9,-14.630055,-39.20605
3,-34.321594,-27.278782
0,41.523125,8.128794
0,23.330238,7.164962
8,4.676723,-12.154333
3,-21.789398,20.907942
1,22.340405,6.570234
2,-12.194696,15.893685
2,-9.196902,17.42884
9,7.835181,-13.594629
0,13.860205,10.40748
7,11.847747,33.05226
2,13.504817,9.136672
1,19.879656,-18.040667
0,19.365494,11.104323
9,-7.024489,-36.31562
2,-3.366484,13.648501
5,-10.098662,-19.36164
8,5.7948127,1.2552726
3,-28.111877,-9.200098
5,-11.2881775,-6.316077
8,10.013197,-9.35181
1,17.519625,8.154232
1,21.469227,-32.59415
9,-3.0126238,-22.362679
3,-34.7644,-26.839003
9,-4.357502,-29.095646
9,-0.9238258,-22.593195
3,0.78241676,1.0090679
9,6.988349,-28.454565
7,7.885181,31.125713
8,14.649455,-5.524111
5,-8.286977,-8.458477
5,-12.779634,-9.7183075
0,38.682316,19.098457
3,-20.726116,-9.119614
3,-35.698143,-18.5513
1,26.777952,-21.542852
8,7.9116707,-1.5266016
5,-39.44343,-14.544331
7,11.273167,42.799793
8,9.906863,-9.395259
1,17.564089,-16.420485
0,39.62383,24.209957
4,-14.966904,36.748535
2,11.686978,8.806833
2,-23.289337,13.503017
1,18.548882,-2.4888313
