,0,1
2,5.701184,28.593916
5,-24.19284,0.053616893
4,-14.539022,27.752686
8,35.89422,-12.819326
3,-41.753803,-2.2107966
0,-14.543298,-26.707409
2,5.166489,31.335876
9,16.591938,-41.973457
2,3.516764,30.30962
7,30.87261,11.058966
4,-1.3339028,3.776718
9,26.041868,-38.398064
1,8.6812,-42.53941
0,-1.3460157,25.58661
0,-4.758589,-19.738497
6,-23.604416,22.960674
9,28.609236,-31.778284
3,-35.324917,-9.016852
8,43.747715,1.5473627
2,11.705251,36.332863
2,20.872166,34.411434
3,-32.657097,0.88065296
0,-19.543497,-24.877893
9,23.083967,-16.602081
3,-36.01457,1.5978626
8,22.224426,-12.958557
4,-3.801344,31.696447
5,-7.5273757,-5.1612554
6,-40.190434,10.681247
3,-41.096943,-17.885088
9,15.725872,-24.524979
4,-12.814798,30.951698
1,1.0834161,-34.427345
3,-28.087477,-5.0879965
1,9.486062,-13.107385
0,-14.5736885,-27.990469
6,-38.880394,21.488495
2,8.556358,21.454016
6,-38.20984,31.300762
1,-3.0434036,-29.633038
9,25.351698,-19.541136
3,-16.842037,8.700587
5,21.253986,36.449528
6,-39.071186,27.49279
8,41.142853,-5.917518
7,22.786375,16.319815
9,15.288302,-17.095158
2,8.096367,34.247295
4,-14.168381,30.56179
5,-3.2454247,-4.88914
5,-18.75479,-20.741516
3,-19.675764,4.958624
4,-4.9638357,38.360603
8,37.04419,-15.229492
2,0.9351764,22.721582
5,-10.634917,-3.813882
9,31.431154,-36.208202
8,32.636913,-2.8346605
0,-11.37432,-27.695473
1,4.9633613,-40.061962
1,3.642826,-42.86641
7,39.513794,20.691307
3,-37.24431,-19.332527
3,-41.42984,7.1353307
9,21.388474,-17.319353
6,-30.67863,36.777637
9,11.714433,-16.236837
8,21.068804,3.8665543
7,33.942352,25.936378
7,0.09913756,-3.2516348
3,-34.595284,-14.347797
9,32.157974,-36.20217
3,-43.910954,-6.654004
0,-16.343994,-28.93976
0,-6.457614,-24.406933
8,25.053308,2.5951622
3,-21.628502,3.3490157
1,5.8050385,-21.588913
2,1.752817,32.561523
2,3.3069208,43.079876
9,11.849939,-10.295436
0,-20.858978,32.320347
7,32.89282,20.4082
2,5.145168,-0.6098009
1,-3.5511239,-31.854822
0,-16.105135,-27.427837
9,18.869495,-24.440073
2,8.72451,36.421944
5,-10.4995365,-10.805476
8,-23.941048,10.351465
3,-37.076443,-17.15271
5,-15.152458,0.7267423
8,37.56463,1.9341173
1,3.2865589,1.5476693
1,2.8248537,-37.72947
9,28.320944,-19.238876
3,-39.68231,-0.06468581
9,14.737632,-18.799942
9,24.174377,-26.36244
3,-21.288252,11.521821
9,11.865183,-27.618338
7,36.533035,11.948874
8,29.595467,0.9756364
5,-37.491516,-6.0245085
5,-16.308836,-14.155489
0,-7.3688693,-25.385246
3,-29.409306,7.39372
3,-42.299633,-3.2279198
1,-7.9563456,-32.412865
8,25.262047,-4.0111647
5,-26.59323,-15.132882
7,21.183878,15.064687
8,26.885872,4.82284
1,-28.458017,21.219902
0,-27.485909,-30.801811
4,-6.110644,31.412567
2,9.96681,31.728905
2,12.239606,22.38799
