,0,1
2,-20.848795,-10.941386
5,-11.810349,-40.534225
4,-11.685651,36.339367
8,38.57453,-15.714677
3,-32.64942,-16.550362
0,42.58807,10.792034
2,13.582841,10.611841
9,26.086369,-32.279274
2,-36.56279,-20.756334
7,10.098238,12.770635
4,-4.3144307,29.949797
9,23.904835,-30.465603
1,-25.91787,14.108906
0,22.577915,26.10949
0,41.629658,15.107691
6,-43.028313,9.969982
9,14.573423,-48.487713
3,-26.03791,-15.23719
8,34.03762,-23.254038
2,-18.12151,-5.356803
2,-20.30444,2.8260133
3,-35.405712,-9.583595
0,41.5538,12.335695
9,-8.713102,-38.767094
3,-24.517885,-35.8742
8,38.073006,-7.6419325
4,0.6226381,42.360756
5,-1.4535418,24.906803
6,-23.397282,21.00067
3,-20.651495,-31.140987
9,15.773849,-4.5084023
4,-35.818954,22.219051
1,16.13889,-27.527735
3,1.5799128,32.876633
1,5.534008,-6.898353
0,24.234045,12.561458
6,-33.835903,21.327969
2,26.207314,2.5872662
6,-27.608131,22.490192
1,11.472568,-13.98479
9,21.504314,-15.095211
3,-23.74167,31.169954
5,-35.09959,-26.01458
6,-37.14421,4.211147
8,-4.002062,3.7940211
7,16.02262,2.927095
9,18.295994,-15.585479
2,35.473213,12.263243
4,7.8904467,40.951584
5,2.6218257,26.511164
5,-38.237896,-26.33963
3,-9.920831,40.106853
4,-7.1502414,15.086002
8,48.520164,-5.714578
2,-18.882524,6.072562
5,-23.505325,11.069615
9,2.2965324,-50.09733
8,35.725487,-5.379368
0,37.682373,21.628267
1,19.853247,-30.36789
1,12.588033,-5.261922
7,9.802587,12.556795
3,-30.279266,-29.582249
3,-42.044586,7.94682
9,-9.740308,-38.96601
6,-9.669303,10.240829
9,-7.999883,-27.197918
8,36.766895,-21.292543
7,8.771388,16.914612
7,18.798052,-0.34212768
3,-35.58051,-16.675213
9,12.971148,-47.91894
3,-20.922825,-23.208986
0,45.559082,-3.2679126
0,30.244457,-0.3516062
8,33.48256,-21.999065
3,-27.994019,23.914707
1,23.519747,-16.91445
2,-36.969383,-1.4146367
2,-45.00484,-24.655436
9,29.132097,-7.618023
0,-6.58925,-12.932721
7,-7.5118313,41.582676
2,28.827475,7.606321
1,28.764038,24.770733
0,31.05677,-4.575943
9,7.566387,-20.301985
2,-12.907069,-5.5415316
5,-34.131886,-27.085142
8,7.409166,-3.5459416
3,-45.68679,-7.631571
5,-26.32314,9.545815
8,33.412624,-16.349798
1,-7.687893,1.1926167
1,8.698433,-27.082092
9,0.23335202,-33.046547
3,-29.825525,32.03421
9,-7.116792,-34.909966
9,-6.887781,-44.65169
3,-12.259374,-20.64806
9,19.503355,-38.323833
7,-10.038461,29.217466
8,41.15004,0.010306127
5,-33.015182,15.882874
5,5.679796,25.078297
0,48.48723,2.5666182
3,-25.593834,30.49608
3,-47.41332,-6.0617266
1,-2.447059,-6.306304
8,-4.4596987,2.9432235
5,-27.998001,-28.316874
7,15.829859,2.2741222
8,33.262558,-13.452485
1,7.677557,-4.1954637
0,50.9499,19.321594
4,-18.364553,14.858869
2,39.514286,-2.7811944
2,-21.237606,-28.429178
1,33.61129,-32.66165
1,-25.544449,18.532028
7,9.206748,7.802252
4,-7.816012,40.811222
1,20.121027,-24.553755
9,22.675241,-28.214163
7,-10.541873,32.92469
0,33.57463,-0.16751415
9,45.875813,20.077644
4,-31.046417,27.60852
5,14.243875,16.148867
6,-1.5497098,-2.418008
5,-29.610155,-9.773517
5,-31.599743,-25.570518
