,0,1
0,1.1051286,4.563624
1,-32.486233,-31.38578
0,-19.116138,26.903833
1,-39.44756,-20.253914
0,-10.245697,3.249615
1,2.610894,25.903297
0,10.231794,-5.5043864
1,8.238071,11.781481
0,47.13703,-5.6664762
1,-14.524406,-12.831663
0,18.429035,42.085
1,5.686217,-47.856033
0,-5.3251987,5.6019163
1,-28.505075,10.604331
0,20.035065,6.2833157
1,-10.094905,33.71993
0,33.961487,-4.8406157
1,42.835907,11.111343
0,-3.5959013,-26.13375
1,11.736086,8.291907
0,4.186488,30.358253
1,-22.38817,26.612148
0,42.84697,8.256642
1,34.507923,20.033436
0,4.155265,-14.519285
1,11.243896,13.295587
0,-40.94129,-4.9110885
1,-16.542015,11.197552
0,-5.1926107,-9.232343
1,-27.884771,31.60107
0,6.2816024,-7.502209
1,-28.9191,-14.9158125
0,41.067104,-9.440627
1,18.29366,3.985921
0,-35.46407,17.485651
1,-26.764463,6.1018596
0,11.616206,44.54577
1,24.224173,-4.8293233
0,-31.125057,21.138254
1,9.047643,33.164146
0,-12.803323,32.77954
1,18.331545,-29.794218
0,8.331149,22.951971
1,2.793084,-45.64972
0,-6.6130795,-21.07988
1,18.241377,-4.156446
0,3.4578145,8.215456
1,17.118038,-18.15968
0,-25.349384,8.066173
1,-42.99942,22.817778
0,31.82303,-11.739408
1,-28.459463,17.273838
0,39.137596,6.1651883
1,15.190766,-19.133545
0,-37.07412,12.638888
1,-4.701992,37.996895
0,35.57464,10.088356
1,-31.314268,-14.766125
0,-15.402924,-31.461184
1,0.19372055,-28.330755
0,10.687973,-15.412342
1,1.5825934,-49.3479
0,26.65525,-0.09141802
1,-1.8509841,-44.061443
0,7.669887,22.954065
1,-39.402435,-2.9947448
0,10.71956,31.481167
1,-4.469199,17.247286
0,16.956955,43.435467
1,-10.538384,-22.231964
0,16.495195,11.674367
1,-43.14446,21.884586
0,40.745705,24.033474
1,-32.48306,29.151176
0,-33.22994,19.816622
1,15.788313,29.965443
0,35.025105,38.25171
1,-14.427686,24.746454
0,38.98078,26.006926
1,-5.409934,30.160877
0,-8.695356,35.832634
1,-13.647407,4.0767126
0,8.485871,9.557415
1,14.010672,8.216408
0,-2.8451402,31.667284
1,1.5940819,-23.557297
0,5.0034933,-3.1439831
1,-26.681158,24.041965
0,-23.083042,1.3471959
1,-13.640039,10.293739
0,5.14615,17.573753
1,-15.367321,-33.47631
0,8.102166,14.793146
1,-6.9971933,-10.697815
0,-18.670942,13.014758
1,30.911007,20.738916
0,-8.987327,22.152939
1,10.663731,3.2866807
0,-32.60267,9.595346
1,-6.063364,-22.533323
0,-28.272312,19.931248
1,36.253304,-2.1767855
0,-31.462103,16.663746
1,20.443485,39.517742
0,13.342003,-9.218098
1,-34.81108,-4.5946593
0,-9.305565,26.240568
1,41.063824,3.3676178
0,35.68805,33.192226
1,29.870079,21.478006
0,15.907041,2.7679524
1,-4.777913,-30.56082
0,12.049399,27.911407
1,25.14185,0.23152164
0,-37.27407,32.082348
1,34.25818,38.090157
0,29.581034,21.704966
1,-4.7341027,-8.290114
0,-40.895176,-11.527701
1,-3.0064034,-18.797316
0,26.821308,21.220081
1,-19.92036,-32.632835
0,44.314953,14.295913
1,-20.687569,38.2152
0,-36.57829,-31.114897
1,-47.316082,6.8563395
0,22.925236,41.66691
1,10.436585,6.182941
0,22.704222,36.419388
1,-18.521019,-25.771456
0,-44.59935,1.9976534
