,0,1
0,1.1082761,7.6513925
1,-35.654137,-25.897764
0,-1.833245,26.920385
1,-31.47952,-17.307991
0,11.17825,-1.5691569
1,6.4783235,13.7376375
0,17.929783,4.5504875
1,6.4310417,22.016811
0,26.796566,29.117111
1,3.001712,-7.5830865
0,35.269722,-11.181723
1,-25.941648,-38.832264
0,12.37616,0.55915064
1,-1.6258636,-2.041022
0,3.970755,10.302138
1,-15.298438,30.493912
0,28.200138,3.394958
1,28.979378,4.891726
0,1.5886778,-24.784216
1,7.461128,18.475073
0,-16.416449,25.9523
1,-21.025366,24.659975
0,26.628347,15.074158
1,28.946838,-1.8738447
0,7.2391205,-16.830002
1,-3.1480489,30.220556
0,-15.829834,-13.502209
1,0.72083586,4.758663
0,19.40267,-10.50577
1,-17.934008,28.141644
0,15.544218,2.1417694
1,-22.229986,-9.042878
0,27.835215,18.052687
1,7.7956524,30.45041
0,-30.474104,1.5567697
1,-8.81523,3.8914042
0,38.096283,-20.306768
1,31.181627,13.908401
0,-12.889658,-5.898813
1,-6.442792,37.82939
0,-9.204065,37.015053
1,15.804886,-37.10716
0,-2.5397518,40.594597
1,-17.927986,-37.00791
0,6.4716263,-16.72638
1,7.8132763,18.201296
0,18.499123,13.851369
1,26.930328,-21.497288
0,-2.903552,-0.8160451
1,-32.5748,35.32022
0,23.13531,24.3155
1,-5.4386616,2.2874196
0,34.38337,15.409847
1,25.602688,-23.03505
0,-19.62634,37.174503
1,-17.113838,31.031065
0,28.918444,2.1055427
1,-36.31522,-0.1098937
0,-22.634125,-12.506811
1,10.811092,-22.081886
0,22.526869,-15.623915
1,-22.824167,-39.0269
0,12.603438,22.06837
1,-8.029193,-24.651897
0,12.066317,20.489527
1,-33.002857,-0.09219879
0,-5.671208,30.526054
1,-2.899093,20.452404
0,37.590565,-17.679335
1,0.69999826,-21.824255
0,-0.028288288,20.385557
1,-39.533813,20.952919
0,24.637453,33.85113
1,-9.970949,18.097641
0,-28.676178,13.774064
1,-18.687504,39.07609
0,45.16129,10.942219
1,-8.645361,0.8176936
0,41.025883,7.42845
1,-4.437548,10.624519
0,-20.188284,21.23192
1,8.922568,-3.7688348
0,7.4641986,17.03971
1,10.505277,17.99404
0,0.0684268,33.993484
1,15.411083,-18.632318
0,10.616728,5.574671
1,-17.457428,30.373466
0,-6.6271796,-10.286577
1,3.1411536,6.8423505
0,-3.805385,25.124107
1,-16.50439,-28.17064
0,5.2334347,25.572254
1,11.162895,-11.068042
0,-5.560805,1.4610771
1,26.744186,-0.057000335
0,-7.5722733,11.453311
1,30.748674,15.763727
0,-21.153852,-12.883562
1,-4.571038,-14.809139
0,-8.908768,3.988912
1,36.085506,20.667517
0,-24.826054,-0.39616448
1,39.551548,-18.456495
0,16.523487,8.979015
1,-16.498575,-10.842379
0,-20.110434,30.407028
1,37.707787,26.876465
0,41.772472,-0.92182493
1,27.71569,1.094508
0,5.2384734,25.68111
1,-9.812239,-22.937967
