,0,1
0,6.54577,-39.833397
6,41.07178,-3.3431528
0,13.364014,-50.05964
2,-1.1939934,16.228586
7,-36.944874,-7.079
4,-9.953085,13.060035
8,35.61938,19.130383
8,1.1882375,11.8448515
4,-11.952329,17.02549
5,23.83507,33.018017
9,41.424274,29.788704
5,34.10416,-7.464554
7,-11.35114,47.648346
9,-46.853706,1.9986627
7,-30.514206,-7.062829
0,17.06209,45.481293
1,-26.861256,-23.86506
4,-12.734179,10.046778
4,17.2564,7.8278785
8,22.205671,-33.37363
8,-35.464046,-7.8878384
1,-12.79514,-29.97368
6,5.1969385,40.100792
4,-29.292578,1.1330097
5,18.557196,2.5655272
2,1.47258,-10.299593
5,39.271214,23.528717
3,-0.73595196,15.152467
3,-24.967258,-27.156675
1,44.40575,20.012913
1,39.492138,-1.6266652
5,-15.579173,46.049217
6,-20.382544,-7.274368
4,9.957255,0.7210677
1,32.309208,12.228801
6,3.9413688,-18.32471
2,33.851677,32.179245
9,-7.856652,-47.511482
9,31.307285,10.172244
3,-17.165388,34.93477
8,4.454657,-25.719385
1,-21.076248,-36.09909
0,-13.752434,46.484917
0,9.76652,-25.46492
5,43.588074,7.9919224
2,33.189487,-18.088509
1,-37.525433,30.373768
2,7.7334323,-4.394321
4,23.681038,15.123975
3,-18.263569,-7.219742
9,-6.8347054,-3.6842093
8,1.7869405,18.254614
8,-2.1432974,-20.501587
3,-11.721385,32.228096
2,-6.504324,-3.6148138
3,-21.69429,-19.011982
5,40.700573,-4.2120514
8,-38.2658,17.767641
8,25.523535,-34.794716
1,-28.19153,-28.218779
0,-44.417915,23.31272
7,-48.284603,-7.7331185
5,-29.067896,-46.981483
1,-33.440723,15.292329
2,8.172068,-3.816974
7,-25.215607,-44.657223
0,-0.048034675,-50.4825
4,-11.164929,6.205054
1,-39.26177,16.260782
6,-13.395696,40.63969
3,14.873035,38.61795
4,-15.098863,29.374222
5,-38.640247,19.244724
3,-15.38604,31.244898
9,0.82070327,-44.337223
0,23.693771,39.179214
2,-25.809898,2.0552359
3,0.0024257384,47.012844
8,28.717123,-33.754673
5,27.73277,1.9727352
9,-8.370121,-33.471066
9,-17.927568,-1.6804278
0,6.7091084,29.679445
3,33.443893,-13.131712
7,42.247974,19.953861
6,-37.84349,13.961726
4,9.610661,27.76548
1,-21.447723,2.444731
7,-0.81550616,21.443949
4,-5.5688915,-17.485304
9,-4.7289224,-52.756927
2,-4.0185075,-6.65848
7,-42.140213,-28.539072
4,-32.879517,19.762283
6,43.528996,21.82189
9,-33.891884,-20.420723
5,29.938004,33.72071
6,47.177048,-7.9443655
4,32.597336,18.234303
7,-30.44486,2.527819
3,-26.973341,-26.843142
6,2.222452,50.882183
5,-40.63546,8.73834
9,20.659075,6.6510367
3,31.830008,17.831617
2,29.38616,-4.1391935
1,-25.594696,-17.496586
7,3.4497583,39.27799
3,-33.72527,12.002557
5,13.682265,31.675684
8,27.629988,-35.450832
6,30.150372,-12.267973
9,-17.352365,37.926823
8,20.261576,-38.371147
7,-40.1456,-26.79695
8,32.93805,-36.846043
5,-14.921005,29.158339
0,13.540042,31.743591
8,44.758217,-2.1087785
4,35.460766,22.83267
6,16.544466,9.921997
6,4.9035115,24.798443
0,-8.947105,-27.10234
6,10.5813675,-18.13977
5,33.134308,14.243864
5,-31.696815,-48.45007
3,32.46007,21.251976
7,-8.934332,-13.244737
3,12.815829,30.584211
9,-6.1964545,40.46086
8,-42.597977,15.493239
8,-39.992928,-9.586428
9,6.883688,8.599364
5,-39.23019,-6.1851263
8,26.549053,-36.096294
6,29.533558,5.3856783
3,-39.216183,-4.0348845
8,-2.0092723,37.85806
8,11.073635,-30.200302
2,33.030304,28.592478
1,-26.166842,-30.703142
0,13.187975,-26.811436
6,38.230328,7.2483044
8,6.1476016,-26.270449
3,-0.99801797,-45.316868
0,-13.691979,-5.0175967
2,34.775208,-2.9735208
7,1.4114461,48.959785
0,-45.804222,13.193879
1,-20.764458,-38.1548
0,-6.8685207,-8.976348
7,-39.116837,-24.462847
6,-19.424147,40.432312
2,42.107147,18.130615
2,0.7324453,-9.096486
5,28.840055,-8.082241
8,25.341003,0.78827137
2,5.425195,15.049697
5,0.8753865,17.254835
9,-8.672436,37.509285
2,5.5418487,-9.915816
3,-17.464375,-22.904352
0,-6.9174366,41.6706
0,10.717629,-23.768402
0,10.11299,-50.528187
7,39.344208,23.662601
5,2.353646,6.2823257
1,-27.799524,-18.558485
4,-12.513504,15.2404
0,-16.744081,46.80203
6,14.045162,-17.806326
4,-15.52274,0.5799773
3,20.86132,-7.477684
3,-15.576982,35.791916
7,-12.126816,-44.354103
8,40.47128,-19.056133
1,37.79088,20.35007
0,-17.637953,36.60544
9,-10.786295,49.60323
9,29.871428,-6.546401
5,19.279375,-31.16106
9,19.49713,25.015095
2,-20.811218,-5.2394896
6,20.52295,3.3741937
3,21.190422,10.425475
2,27.110706,12.459873
5,-29.70476,-43.941135
6,8.193111,-19.134964
9,1.2609518,-24.652088
3,32.843334,29.616255
0,38.391724,11.325977
0,3.4401412,31.473854
5,-41.935917,16.048397
9,37.2109,28.636757
0,-0.9339917,-37.04697
1,-6.430223,40.92408
3,4.718842,6.4925647
6,15.565529,-20.289993
8,20.795673,-33.23806
7,20.171783,32.689037
1,-23.648367,-32.81666
5,7.384685,31.018173
2,-23.340963,-6.590457
7,-45.270737,-25.114016
3,6.8022404,42.48843
9,-13.240619,-42.48025
7,-10.2605505,29.70434
1,-24.350403,-26.926289
7,33.597702,31.526592
9,-46.638466,5.401549
9,-4.9014177,-44.43983
7,-41.549427,-29.182085
2,-47.14985,0.5661269
6,-35.950214,-11.136693
0,12.497661,0.5104592
4,-34.612926,15.033616
6,-44.13173,-11.837215
2,21.854614,34.64446
1,-12.019173,39.137074
5,23.85473,39.194927
7,-46.245537,2.1332805
4,32.970486,0.029899785
1,11.996778,7.0905743
2,-10.140269,-6.3410497
3,-30.425545,-19.85067
9,14.112599,-20.555628
3,-19.248926,-22.047338
6,50.08647,12.150032
0,1.2001526,-32.51743
4,-6.9021955,37.411522
6,-23.719584,10.7708025
3,20.493952,21.908476
2,-16.25845,35.20808
1,-17.162737,-14.792896
4,-19.628168,-0.26249114
7,-17.263254,4.4688306
8,32.705685,-36.44675
1,-50.180595,14.320173
6,-31.235525,-33.577625
8,0.7305366,-14.739517
6,11.646585,-20.01943
9,-12.04802,25.933228
8,-38.789257,23.074514
3,-3.7370815,-1.0978017
0,-36.82206,-12.835997
3,-18.391907,-24.968285
0,12.113403,0.5835415
4,-10.533913,0.19146062
4,-21.347582,22.474174
5,41.59494,20.959858
4,-18.712461,22.770203
7,-41.75977,-3.3257713
7,13.681559,-31.72506
6,-11.233037,40.284492
9,12.632592,23.823814
1,20.225327,4.7057495
0,-16.045176,33.595272
3,-40.196323,-6.145309
5,32.726784,26.16416
1,0.7045816,-0.10017349
8,-15.365547,46.426235
3,36.77587,16.952456
7,8.142268,28.553257
4,-17.138739,3.8386495
6,24.756676,23.807009
7,5.6005225,33.69651
3,4.7398233,-16.189655
2,-7.2510705,19.4155
3,-32.58831,2.5627654
9,21.513348,5.6113753
2,0.99359053,9.248808
3,-21.994772,-20.64455
5,-17.871647,-4.6347785
5,48.909496,-1.0429099
1,33.243484,-11.766985
7,33.091366,23.957808
6,4.665051,-40.536156
1,49.586716,12.552987
6,-25.116226,-4.672506
7,1.7173047,27.050962
4,-38.208496,13.552783
9,-34.700356,4.267497
2,-30.592972,-1.0953703
5,2.644819,34.49761
2,0.7584167,-24.673882
4,-15.603498,43.49085
4,-7.645469,19.803078
7,32.358112,0.0433683
6,19.022446,-20.140121
7,-41.539127,25.748428
4,25.996033,-16.123796
6,-24.402456,-1.2366406
5,-48.18698,-24.970299
8,33.74697,-38.078632
0,-6.446424,-23.728815
1,23.506468,-12.544015
1,-20.998137,-29.038029
8,12.21903,-34.565186
1,-8.020103,-8.550829
4,-15.334941,19.527521
3,15.75385,11.491562
9,-10.788393,9.953291
8,20.621367,16.624565
7,-39.568825,26.733843
1,26.741066,-17.782375
8,7.4099035,17.778921
3,-40.23003,24.00791
2,-4.6082034,-1.6531532
1,50.325,3.794735
4,-9.738249,13.34968
8,29.929842,-36.13192
4,13.890431,-12.294826
5,23.921013,18.118746
4,26.550325,22.830616
2,31.5358,31.296019
8,15.29979,-28.652504
4,-7.9406075,47.256023
5,-42.97207,-5.686001
7,-36.998253,7.940346
7,39.31682,-1.6343184
8,9.569245,40.81841
6,-4.8477187,20.312004
7,40.556904,-8.711605
5,-28.503353,-38.937008
3,-35.443386,-17.3604
5,9.6146555,8.027776
