phase,exp_id,dataset,num_classes,stage1_epochs,stage2_epochs,condition,attack_type,defense_name,defense_alpha,defense_tau,defense_burn_in,defense_noise_std,manual_seed,stage1_train_top1,stage1_test_top1,stage1_test_topk,mc_best_train_top1,mc_final_test_top1,mc_vs_benign_pp,mc_vs_attack_pp,vfl_utility_cost_pp,n_labeled,notes
Phase 1 Characterization,EXP-001,CIFAR10,10,30,25,benign,none,none,,,,,0,,61.63%,92.41% (k=4),84.61%,66.81%,,,,40,30ep characterization checkpoint; mc numbers from EXP-003 (100ep training)
Phase 1 Characterization,EXP-001,CIFAR10,10,30,25,active_party_a,MaliciousSGD,none,,,,,0,29.85%*,29.15%*,70.06%* (k=4),94.99%,73.14%,+10.38pp,,40,*30ep checkpoint (confounded — 100ep used in EXP-003 Stage 1). mc from EXP-003.
Phase 1 Characterization,EXP-001,CIFAR10,10,30,25,active_all_parties,MaliciousSGD-all,none,,,,,0,,62.90%,92.57% (k=4),85.39%,68.69%,+0.78pp,,40,All parties malicious; symmetric so detection not applicable
Phase 2 Defense (30ep),EXP-008,CIFAR10,10,30,25,active+defense,MaliciousSGD,AsymmetricAdaptivePerturbation,1.0,0.10,8,,0,63.39%,60.94%,92.33% (k=4),52.28%,48.96%,-32.33pp vs active (confounded),-42.71pp (confounded),-1.77pp,40,CONFOUNDED — 30ep defended vs 100ep undefended (EXP-009). Do not use for paper.
Phase 2 Defense (30ep),EXP-008,CIFAR10,10,30,25,benign+defense,none,AsymmetricAdaptivePerturbation,1.0,0.10,8,,0,64.12%,62.71%,93.75% (k=4),47.18%,45.66%,,,-0.80pp,40,Defense dormant on benign; divergence stayed below tau=0.10 throughout 30ep
Phase 2b Baselines (30ep),EXP-009,CIFAR10,10,30,25,benign,none,none,,,,,0,,61.63%,,(47.98%),47.11%,,,-0.68pp (vs 62.71%),40,30ep fair baseline. Attack (23.45%) < benign (47.98%) — attack not converged at 30ep
Phase 2b Baselines (30ep),EXP-009,CIFAR10,10,30,25,active_party_a,MaliciousSGD,none,,,,,0,29.85%,29.15%,,23.45%,23.07%,-24.53pp vs benign,,40,Attack BELOW benign at 30ep — MaliciousSGD not yet converged
Phase 3b Ablation (30ep Stage1 only),EXP-010,CIFAR10,10,30,,active+defense,MaliciousSGD,AsymmetricAdaptivePerturbation,0.5,0.10,8,,0,,63.59%,93.59% (k=4),,,,,40,Stage 1 VFL only — no MC run; 30ep ablation data
Phase 3b Ablation (30ep Stage1 only),EXP-010,CIFAR10,10,30,,active+defense,MaliciousSGD,AsymmetricAdaptivePerturbation,2.0,0.10,8,,0,,59.69%,91.06% (k=4),,,,,40,Stage 1 VFL only — no MC run; 30ep ablation data
Phase 3b Ablation (30ep Stage1 only),EXP-010,CIFAR10,10,30,,active+defense,MaliciousSGD,AsymmetricAdaptivePerturbation,1.0,0.05,8,,0,,56.70%,88.36% (k=4),,,,,40,Stage 1 VFL only — no MC run; 30ep ablation data
Phase 3b Ablation (30ep Stage1 only),EXP-010,CIFAR10,10,30,,active+defense,MaliciousSGD,AsymmetricAdaptivePerturbation,1.0,0.15,8,,0,,60.61%,92.01% (k=4),,,,,40,Stage 1 VFL only — no MC run; 30ep ablation data
Phase 3b Ablation (30ep Stage1 only),EXP-010,CIFAR10,10,30,,benign+defense,none,AsymmetricAdaptivePerturbation,1.0,0.05,8,,0,,59.27%,91.49% (k=4),,,,,40,Stage 1 VFL only — no MC run; 30ep ablation data
Phase 3b Ablation (30ep Stage1 only),EXP-010,CIFAR10,10,30,,benign+defense,none,AsymmetricAdaptivePerturbation,1.0,0.15,8,,0,,61.41%,89.28% (k=4),,,,,40,Stage 1 VFL only — no MC run; 30ep ablation data
Phase 4 Three-Way (100ep),EXP-011,CIFAR10,10,100,25,benign,none,none,,,,,0,100.00%,81.45%,97.20% (k=4),87.23%,69.07%,baseline,baseline,,40,PRIMARY RESULT — epoch-confound resolved; seed=0 single run
Phase 4 Three-Way (100ep),EXP-011,CIFAR10,10,100,25,active_party_a,MaliciousSGD,none,,,,,0,100.00%,80.86%,96.73% (k=4),95.42%,73.67%,+8.19pp,baseline,-0.59pp vs benign VFL,40,PRIMARY RESULT — seed=0
Phase 4 Three-Way (100ep),EXP-011,CIFAR10,10,100,25,active+defense,MaliciousSGD,AsymmetricAdaptivePerturbation,1.0,0.10,8,,0,99.98%,79.52%,96.50% (k=4),84.27%,74.97%,-2.96pp,-11.15pp,-1.93pp,40,PRIMARY RESULT — defended below benign ✅; scale=0 from epoch 74
Phase 7 Competitor MC (30ep),EXP-014,CIFAR10,10,30,25,active+gc,MaliciousSGD+GC,GradientCompression_75pct,,,,,0,,67.17%,,69.22%,,,-25.77pp vs our attack,40,30ep checkpoint; competitor comparison only
Phase 7 Competitor MC (30ep),EXP-014,CIFAR10,10,30,25,active+laplace,MaliciousSGD+Laplace,LaplaceDP_scale0.001,,,,,0,,56.45%,,53.41%,,,40,30ep checkpoint; competitor comparison only
